epoch,training loss,test acc,time elapsed
1,0.96,89.67,1764.51
2,0.54,90.88,
3,0.46,91.78,
4,0.42,92.4,
5,0.39,93.01,
6,0.36,93.27,
7,0.35,93.77,
8,0.33,93.85,
9,0.32,94.05,
10,0.31,94.33,
11,0.31,94.4,
12,0.3,94.51,
13,0.29,94.71,
14,0.29,94.73,
15,0.28,94.86,
16,0.28,94.98,
17,0.27,95.09,
18,0.27,95.16,
19,0.26,95.29,
20,0.26,95.19,
21,0.26,95.46,
22,0.26,95.42,
23,0.25,95.58,
24,0.25,95.75,
25,0.25,95.57,
26,0.24,95.74,
27,0.24,95.76,
28,0.24,95.84,
29,0.24,95.95,
30,0.23,95.95,
31,0.24,96.01,
32,0.23,96.03,
33,0.23,95.99,
34,0.23,96.11,
35,0.23,96.17,
36,0.23,96.11,
37,0.22,96.13,
38,0.22,96.14,
39,0.22,96.16,
40,0.22,96.26,
41,0.22,96.18,
42,0.22,96.19,
43,0.22,96.33,
44,0.22,96.34,
45,0.21,96.36,
46,0.21,96.31,
47,0.21,96.39,
48,0.21,96.43,
49,0.21,96.43,
50,0.21,96.34,
51,0.21,96.46,
52,0.21,96.56,
53,0.2,96.52,
54,0.2,96.51,
55,0.21,96.53,
56,0.21,96.47,
57,0.2,96.55,
58,0.2,96.61,
59,0.2,96.64,
60,0.2,96.6,
61,0.2,96.61,
62,0.2,96.55,
63,0.2,96.55,
64,0.2,96.62,
65,0.2,96.79,
66,0.19,96.68,
67,0.19,96.7,
68,0.19,96.66,
69,0.19,96.63,
70,0.19,96.68,
71,0.19,96.7,
72,0.19,96.72,
73,0.19,96.77,
74,0.19,96.75,
75,0.19,96.72,
76,0.19,96.77,
77,0.19,96.71,
78,0.19,96.74,
79,0.19,96.71,
80,0.19,96.76,
81,0.19,96.76,
82,0.19,96.79,
83,0.19,96.73,
84,0.18,96.76,
85,0.19,96.77,
86,0.19,96.87,
87,0.18,96.84,
88,0.18,96.93,
89,0.18,96.75,
90,0.18,96.84,
91,0.18,96.94,
92,0.18,96.9,
93,0.18,96.83,
94,0.18,96.82,
95,0.18,96.84,
96,0.18,96.91,
97,0.18,96.84,
98,0.18,96.93,
99,0.18,96.87,
100,0.18,96.94,
101,0.17,96.95,
102,0.18,96.89,
103,0.18,96.89,
104,0.18,96.93,
105,0.18,96.88,
106,0.17,96.8,
107,0.18,96.78,
108,0.17,96.86,
109,0.18,96.85,
110,0.17,96.92,
111,0.17,96.91,
112,0.17,96.84,
113,0.17,96.92,
114,0.17,96.91,
115,0.17,96.93,
116,0.17,96.96,
117,0.17,96.94,
118,0.17,97.05,
119,0.17,96.95,
120,0.17,97.02,
121,0.17,96.98,
122,0.17,96.96,
123,0.17,97.02,
124,0.17,97.01,
125,0.17,96.94,
126,0.17,96.98,
127,0.17,96.99,
128,0.17,96.98,
129,0.17,96.89,
130,0.16,96.97,
131,0.16,96.89,
132,0.17,96.99,
133,0.17,97.03,
134,0.16,97.03,
135,0.17,96.97,
136,0.16,97.01,
137,0.17,97.05,
138,0.16,97.04,
139,0.16,96.99,
140,0.16,97.02,
141,0.16,97,
142,0.16,97,
143,0.16,97.03,
144,0.16,97.01,
145,0.16,97.01,
146,0.16,96.95,
147,0.16,97.03,
148,0.16,96.97,
149,0.16,97.01,
150,0.16,97.04,
151,0.16,97.04,
152,0.16,97,
153,0.16,97.01,
154,0.16,97.08,
155,0.16,97.1,
156,0.16,97.05,
157,0.16,97.18,
158,0.16,96.98,
159,0.16,97.03,
160,0.16,97.05,
161,0.16,97.1,
162,0.16,96.99,
163,0.16,96.99,
164,0.16,97.07,
165,0.16,97.02,
166,0.16,97.09,
167,0.16,97.05,
168,0.16,97.07,
169,0.16,96.99,
170,0.16,97.02,
171,0.16,97.08,
172,0.15,97.09,
173,0.15,97.07,
174,0.15,97.12,
175,0.16,97.05,
176,0.15,97.03,
177,0.16,97.08,
178,0.15,97.05,
179,0.15,97.15,
180,0.15,96.93,
181,0.15,97.09,
182,0.15,97.04,
183,0.15,97.07,
184,0.15,97.08,
185,0.15,97.1,
186,0.15,96.95,
187,0.15,97.07,
188,0.15,97.07,
189,0.15,97.02,
190,0.15,97.15,
191,0.15,97.11,
192,0.15,97.07,
193,0.15,97.08,
194,0.15,97.11,
195,0.15,97.15,
196,0.15,97.16,
197,0.15,97.05,
198,0.15,97.04,
199,0.15,97.06,
200,0.15,97.12,
