epoch,training loss,test acc
1,2.29,18.07
2,2.08,30.05
3,1.83,36.78
4,1.65,41.6
5,1.54,44.55
6,1.46,47.41
7,1.4,50.68
8,1.35,52.64
9,1.3,54.17
10,1.26,55.66
11,1.22,55.74
12,1.19,57.16
13,1.16,57.91
14,1.13,60.02
15,1.1,60.18
16,1.08,60.67
17,1.06,60.72
18,1.04,61.71
19,1.01,61.49
20,0.99,61.51
21,0.97,60.71
22,0.96,62.71
23,0.94,62.72
24,0.92,63.18
25,0.9,63.19
26,0.89,63.87
27,0.87,64.14
28,0.86,63.38
29,0.84,64.27
30,0.83,62.74
31,0.82,64.07
32,0.8,64.0
33,0.79,63.35
34,0.77,64.55
35,0.76,64.24
36,0.75,63.14
37,0.73,63.89
38,0.72,63.69
39,0.71,64.22
40,0.7,64.09
41,0.68,63.4
42,0.67,64.77
43,0.66,63.61
44,0.65,63.32
45,0.63,64.25
46,0.62,64.44
47,0.61,63.28
48,0.6,64.24
49,0.59,63.74
50,0.58,62.63
51,0.57,63.09
52,0.56,63.81
53,0.55,62.48
54,0.54,64.14
55,0.53,63.79
56,0.52,63.48
57,0.51,63.81
58,0.5,63.5
59,0.49,62.85
60,0.48,63.48
61,0.47,62.66
62,0.46,63.61
63,0.45,63.01
64,0.44,63.15
65,0.43,63.38
66,0.43,61.71
67,0.41,62.67
68,0.41,62.38
69,0.4,63.06
70,0.39,61.94
71,0.38,61.89
72,0.38,62.76
73,0.37,62.48
74,0.36,61.55
75,0.35,62.17
76,0.34,61.02
77,0.34,61.84
78,0.33,61.55
79,0.32,61.42
80,0.32,61.48
81,0.32,61.26
82,0.3,61.73
83,0.3,61.78
84,0.3,60.91
85,0.29,61.0
86,0.28,60.52
87,0.28,60.29
88,0.27,60.68
89,0.27,59.52
90,0.27,61.51
91,0.26,60.94
92,0.25,60.77
93,0.24,61.06
94,0.25,60.34
95,0.24,60.37
96,0.23,59.99
97,0.23,60.48
98,0.23,59.54
99,0.22,59.58
100,0.22,61.04
101,0.23,59.98
102,0.22,60.35
103,0.2,59.89
104,0.19,59.88
105,0.21,61.1
106,0.2,60.54
107,0.19,60.04
108,0.2,59.81
109,0.19,59.89
110,0.19,59.75
111,0.18,60.39
112,0.18,60.46
113,0.18,59.39
114,0.17,60.08
115,0.18,59.32
116,0.16,60.0
117,0.16,59.62
118,0.17,59.3
119,0.17,59.44
120,0.18,60.03
121,0.17,59.25
122,0.18,59.74
123,0.17,59.49
124,0.15,59.75
125,0.16,60.25
126,0.15,60.13
127,0.15,59.7
128,0.15,59.46
129,0.13,59.54
130,0.14,60.15
131,0.14,59.17
132,0.14,59.9
133,0.18,59.9
134,0.14,59.82
135,0.14,59.72
136,0.11,58.39
137,0.12,60.01
138,0.15,59.81
139,0.15,59.77
140,0.13,59.97
141,0.11,59.52
142,0.11,59.39
143,0.14,59.71
144,0.15,59.32
145,0.14,59.66
146,0.13,58.74
147,0.12,59.56
148,0.11,60.12
149,0.13,60.27
150,0.1,59.15
151,0.11,59.38
152,0.11,59.68
153,0.11,59.24
154,0.13,58.46
155,0.13,59.99
156,0.11,59.68
157,0.12,59.12
158,0.1,59.72
159,0.09,59.61
160,0.09,58.91
161,0.1,58.76
162,0.13,59.61
163,0.16,59.32
164,0.14,58.82
165,0.11,59.37
166,0.08,59.16
167,0.08,59.28
168,0.05,60.1
169,0.03,60.35
170,0.02,60.23
171,0.01,60.55
172,0.0,60.49
173,0.0,60.52
174,0.0,60.45
175,0.0,60.52
176,0.0,60.5
177,0.0,60.48
178,0.0,60.68
179,0.0,60.61
180,0.0,60.56
181,0.0,60.52
182,0.0,60.5
183,0.0,60.42
184,0.0,60.58
185,0.0,60.46
186,0.0,60.52
187,0.0,60.56
188,0.0,60.52
189,0.0,60.58
190,0.0,60.59
191,0.0,60.5
192,0.0,60.56
193,0.0,60.59
194,0.0,60.56
195,0.0,60.5
196,0.0,60.59
197,0.0,60.58
198,0.0,60.63
199,0.0,60.63
200,0.0,60.58
