Epoch,Training loss,Test loss,Test acc
1,2.3047,2.3039,0.091
2,2.3034,2.3028,0.0976
3,2.3011,2.3017,0.1145
4,2.3012,2.3005,0.1233
5,2.299,2.2991,0.1425
6,2.2975,2.2975,0.1588
7,2.2969,2.2955,0.17
8,2.2942,2.293,0.1797
9,2.2906,2.29,0.1736
10,2.2867,2.286,0.1681
11,2.282,2.2804,0.1872
12,2.2761,2.2728,0.2169
13,2.2655,2.2611,0.2056
14,2.2525,2.2439,0.2173
15,2.2283,2.2164,0.2173
16,2.1994,2.1794,0.2354
17,2.1587,2.134,0.2428
18,2.1136,2.088,0.2662
19,2.0719,2.0462,0.2722
20,2.0241,2.0058,0.2884
21,1.9973,1.9775,0.296
22,1.9584,1.9483,0.3024
23,1.9367,1.9285,0.3034
24,1.9202,1.9112,0.3093
25,1.9124,1.8981,0.3125
26,1.8891,1.8849,0.3201
27,1.8799,1.8744,0.3232
28,1.8728,1.8572,0.3278
29,1.8705,1.8473,0.3324
30,1.8586,1.8336,0.3387
31,1.832,1.8164,0.3417
32,1.8146,1.8001,0.3469
33,1.8048,1.7896,0.3542
34,1.8046,1.7722,0.3609
35,1.7812,1.759,0.3649
36,1.7606,1.747,0.3657
37,1.7665,1.7322,0.3699
38,1.7479,1.7179,0.3776
39,1.7295,1.702,0.3848
40,1.7113,1.697,0.3847
41,1.6969,1.6792,0.3866
42,1.6971,1.6657,0.3912
43,1.6619,1.6533,0.3934
44,1.6737,1.6434,0.402
45,1.639,1.6324,0.4039
46,1.6216,1.6318,0.4022
47,1.6325,1.6151,0.413
48,1.6311,1.6036,0.4165
49,1.6064,1.594,0.4133
50,1.6023,1.5874,0.4239
51,1.5688,1.5885,0.4213
52,1.5719,1.5715,0.4287
53,1.5803,1.5609,0.4309
54,1.5657,1.5581,0.4289
55,1.5378,1.546,0.4316
56,1.5207,1.5371,0.4405
57,1.5371,1.5318,0.4419
58,1.5238,1.5252,0.4434
59,1.5394,1.5221,0.443
60,1.5077,1.5164,0.4428
