epoch,training loss,test acc
1,2.3,12.1
2,2.29,18.37
3,2.16,25.94
4,1.98,30.46
5,1.87,34.73
6,1.76,37.99
7,1.67,40.84
8,1.6,42.34
9,1.54,44.64
10,1.5,46.37
11,1.46,47.98
12,1.43,48.83
13,1.4,49.49
14,1.36,51.65
15,1.34,52.61
16,1.31,53.45
17,1.29,53.02
18,1.27,54.63
19,1.24,55.07
20,1.22,55.53
21,1.2,55.98
22,1.18,57.27
23,1.16,57.21
24,1.15,57.9
25,1.13,58.33
26,1.12,58.8
27,1.1,59.36
28,1.09,60.01
29,1.08,59.99
30,1.06,58.94
31,1.05,60.24
32,1.04,61.31
33,1.02,60.37
34,1.01,60.18
35,1.0,61.28
36,0.99,61.4
37,0.98,59.91
38,0.97,62.26
39,0.96,62.58
40,0.95,62.53
41,0.94,62.45
42,0.93,62.3
43,0.91,61.95
44,0.91,63.21
45,0.9,62.98
46,0.89,62.86
47,0.88,62.04
48,0.87,62.98
49,0.86,62.89
50,0.85,63.41
51,0.84,63.43
52,0.83,63.18
53,0.82,63.11
54,0.81,64.12
55,0.8,63.83
56,0.79,64.3
57,0.79,64.27
58,0.78,63.86
59,0.77,63.55
60,0.76,64.15
61,0.75,63.79
62,0.74,63.98
63,0.74,63.66
64,0.73,63.97
65,0.72,64.17
66,0.71,63.91
67,0.7,63.65
68,0.69,63.53
69,0.69,64.23
70,0.68,64.05
71,0.67,64.41
72,0.66,62.61
73,0.65,63.75
74,0.65,64.3
75,0.64,64.75
76,0.63,62.81
77,0.62,63.33
78,0.62,64.43
79,0.61,64.4
80,0.6,64.06
81,0.6,63.0
82,0.59,62.23
83,0.58,63.9
84,0.58,64.41
85,0.57,63.95
86,0.56,64.29
87,0.56,63.77
88,0.55,63.87
89,0.55,63.59
90,0.54,63.85
91,0.53,63.88
92,0.52,63.44
93,0.51,63.66
94,0.51,63.21
95,0.5,63.34
96,0.5,63.64
97,0.49,62.76
98,0.48,63.27
99,0.48,63.8
100,0.48,62.94
