Step,Value
1,0.1009
2,0.2103
3,0.3023
4,0.3852
5,0.0983
6,0.5932
7,0.566
8,0.6256
9,0.6362
10,0.6522
11,0.7399
12,0.775
13,0.755
14,0.7606
15,0.8267
16,0.7911
17,0.8179
18,0.8293
19,0.7931
20,0.8537
21,0.8777
22,0.8442
23,0.8538
24,0.8808
25,0.8651
26,0.8727
27,0.8965
28,0.8951
29,0.8697
30,0.8764
31,0.8913
32,0.897
33,0.9
34,0.91
35,0.9034
36,0.8984
37,0.9104
38,0.9012
39,0.9048
40,0.8998
41,0.9098
42,0.8868
43,0.9144
44,0.9193
45,0.9238
46,0.9269
47,0.9292
48,0.9151
49,0.9308
50,0.9358
51,0.9231
52,0.9292
53,0.9321
54,0.932
55,0.9335
56,0.9351
57,0.9323
58,0.9281
59,0.928
60,0.9326
61,0.9322
62,0.9414
63,0.9382
64,0.9409
65,0.9373
66,0.9403
67,0.9403
68,0.9334
69,0.9383
70,0.9417
71,0.9457
72,0.9416
73,0.9437
74,0.9438
75,0.9454
76,0.9436
77,0.9467
78,0.9484
79,0.946
80,0.9496
81,0.9477
82,0.9487
83,0.9457
84,0.9513
85,0.9494
86,0.9505
87,0.9537
88,0.9535
89,0.9503
90,0.9508
91,0.9469
92,0.9499
93,0.9537
94,0.9561
95,0.9541
96,0.9555
97,0.9581
98,0.958
99,0.9553
100,0.951
101,0.9531
102,0.9575
103,0.9603
104,0.9571
105,0.9593
106,0.9586
107,0.9581
108,0.9591
109,0.9588
110,0.9617
111,0.9595
112,0.9619
113,0.9583
114,0.9573
115,0.9622
116,0.9573
117,0.9603
118,0.9624
119,0.9609
120,0.9594
121,0.9614
122,0.9626
123,0.9606
124,0.9632
125,0.9613
126,0.9621
127,0.9619
128,0.9631
129,0.9636
130,0.9641
131,0.9635
132,0.9653
133,0.9628
134,0.9613
135,0.9623
136,0.9624
137,0.9617
138,0.9657
139,0.9665
140,0.9657
141,0.966
142,0.9652
143,0.9659
144,0.9633
145,0.9662
146,0.9672
147,0.9668
148,0.9615
149,0.9652
150,0.9649
151,0.9671
152,0.9661
153,0.9679
154,0.9656
155,0.9647
156,0.9662
157,0.9643
158,0.9623
159,0.9671
160,0.968
161,0.9688
162,0.9676
163,0.9701
164,0.9691
165,0.9676
166,0.9683
167,0.9683
168,0.9686
169,0.9705
170,0.97
171,0.971
172,0.9694
173,0.9653
174,0.9692
175,0.971
176,0.9701
177,0.9707
178,0.9717
179,0.9736
180,0.972
181,0.971
182,0.9721
183,0.9707
184,0.9724
185,0.9722
186,0.9723
187,0.9676
188,0.9703
189,0.9738
190,0.9715
191,0.9727
192,0.9732
193,0.9733
194,0.9728
195,0.9737
196,0.971
197,0.974
198,0.9723
199,0.971
200,0.9722
201,0.9727
202,0.973
203,0.9744
204,0.9733
205,0.9732
206,0.9725
207,0.9742
208,0.9738
209,0.9689
210,0.9741
211,0.9742
212,0.9749
213,0.9752
214,0.9752
215,0.9737
216,0.9705
217,0.9748
218,0.9693
219,0.9745
220,0.9738
221,0.9737
222,0.9763
223,0.9767
224,0.9764
225,0.9752
226,0.9756
227,0.974
228,0.9741
229,0.9695
230,0.9756
231,0.9735
232,0.9749
233,0.9762
234,0.9755
235,0.9734
236,0.9756
237,0.9773
238,0.975
239,0.9756
240,0.9761
241,0.975
242,0.9776
243,0.9778
244,0.9764
245,0.9769
246,0.9762
247,0.9753
248,0.9777
249,0.9776
250,0.9757
251,0.975
252,0.9772
253,0.9714
254,0.9768
255,0.9766
256,0.976
257,0.9484
258,0.9686
259,0.9738
260,0.9778
261,0.977
262,0.9774
263,0.9772
264,0.9757
265,0.9776
266,0.9776
267,0.9784
268,0.9768
269,0.9774
270,0.9777
271,0.9777
272,0.9788
273,0.9769
274,0.9768
275,0.9769
276,0.9778
277,0.9766
278,0.9774
279,0.9783
280,0.9783
281,0.978
282,0.9767
283,0.9778
284,0.9738
285,0.9781
286,0.9784
287,0.9796
288,0.9799
289,0.9787
290,0.9772
291,0.9776
292,0.9795
293,0.9785
294,0.9803
295,0.9799
296,0.9785
297,0.9779
298,0.9774
299,0.9762
300,0.9783
301,0.9773
302,0.977
303,0.98
304,0.9807
305,0.9789
306,0.9807
307,0.9796
308,0.98
309,0.9807
310,0.9807
311,0.9794
312,0.9796
313,0.981
314,0.9784
315,0.9796
316,0.9788
317,0.9796
318,0.9806
319,0.9816
320,0.982
321,0.9812
322,0.9811
323,0.9809
324,0.981
325,0.9814
326,0.9814
327,0.9802
328,0.9812
329,0.9814
330,0.9816
331,0.9767
332,0.9813
333,0.9821
334,0.9812
335,0.9804
336,0.9816
337,0.981
338,0.981
339,0.9815
340,0.9806
341,0.9818
342,0.9806
343,0.979
344,0.9822
345,0.9815
346,0.9825
347,0.9833
348,0.9823
349,0.9804
350,0.9815
351,0.9785
352,0.9809
353,0.9808
354,0.9804
355,0.9819
356,0.9828
357,0.9794
358,0.9813
359,0.9815
360,0.9822
361,0.9819
362,0.9829
363,0.9801
364,0.9823
365,0.9823
366,0.9824
367,0.9823
368,0.9833
369,0.9832
370,0.9823
371,0.9825
372,0.9824
373,0.9826
374,0.9804
375,0.9835
376,0.9838
377,0.9838
378,0.9826
379,0.9818
380,0.9835
381,0.9814
382,0.9812
383,0.9823
384,0.9818
385,0.982
386,0.983
387,0.9823
388,0.9825
389,0.9831
390,0.9832
391,0.9814
392,0.9823
393,0.9827
394,0.9827
395,0.9822
396,0.9834
397,0.9839
398,0.9829
399,0.9836
400,0.9841
401,0.9677
402,0.9511
403,0.9686
404,0.9779
405,0.9793
406,0.981
407,0.9823
408,0.9824
409,0.9833
410,0.982
411,0.9838
412,0.9836
413,0.9822
414,0.9825
415,0.9833
416,0.985
417,0.9831
418,0.9833
419,0.9845
420,0.9837
421,0.9845
422,0.9839
423,0.9839
424,0.9838
425,0.9841
426,0.983
427,0.9837
428,0.9834
429,0.9842
430,0.9843
431,0.9832
432,0.9834
433,0.9832
434,0.9845
435,0.9845
436,0.9831
437,0.9838
438,0.9847
439,0.9844
440,0.9837
441,0.9856
442,0.9848
443,0.9837
444,0.9841
445,0.9847
446,0.9828
447,0.9839
448,0.985
449,0.9847
450,0.9841
451,0.9838
452,0.9852
453,0.9845
454,0.9852
455,0.985
456,0.9838
457,0.983
458,0.9852
459,0.9844
460,0.9843
461,0.9826
462,0.9843
463,0.9852
464,0.9843
465,0.9849
466,0.9849
467,0.9851
468,0.9848
469,0.985
470,0.9846
471,0.9853
472,0.985
473,0.985
474,0.9848
475,0.9844
476,0.982
477,0.9841
478,0.9847
479,0.9853
480,0.9851
481,0.9844
482,0.9853
483,0.9841
484,0.9839
485,0.985
486,0.9843
487,0.9846
488,0.9844
489,0.9829
490,0.9852
491,0.9851
492,0.9857
493,0.9841
494,0.9854
495,0.9859
496,0.9845
497,0.9792
498,0.9848
499,0.9845
500,0.9569
501,0.9753
502,0.9817
503,0.9828
504,0.9845
505,0.9846
506,0.9841
507,0.9855
508,0.9854
509,0.9857
510,0.9854
511,0.985
512,0.9847
513,0.9854
514,0.9843
515,0.9854
516,0.985
517,0.9851
518,0.9861
519,0.9857
520,0.9859
521,0.9831
522,0.984
523,0.9851
524,0.9861
525,0.9861
526,0.9864
527,0.9856
528,0.9857
529,0.9854
530,0.9857
531,0.9853
532,0.9836
533,0.9852
534,0.9851
535,0.9847
536,0.9847
537,0.9858
538,0.9847
539,0.9854
540,0.9859
541,0.9854
542,0.9857
543,0.9857
544,0.985
545,0.9864
546,0.986
547,0.9849
548,0.9855
549,0.9854
550,0.9858
551,0.9865
552,0.9862
553,0.986
554,0.9855
555,0.9855
556,0.9856
557,0.9859
558,0.9855
559,0.9861
560,0.9854
561,0.9858
562,0.986
563,0.9859
564,0.9851
565,0.9868
566,0.9861
567,0.9855
568,0.9851
569,0.9863
570,0.9864
571,0.9859
572,0.9859
573,0.9859
574,0.9866
575,0.9855
576,0.9857
577,0.9858
578,0.9858
579,0.987
580,0.9865
581,0.9867
582,0.9854
583,0.9749
584,0.9622
585,0.9718
586,0.9772
587,0.982
588,0.9835
589,0.9857
590,0.9862
591,0.9859
592,0.9862
593,0.9865
594,0.9865
595,0.986
596,0.9858
597,0.9867
598,0.9862
599,0.9853
600,0.9854
601,0.9862
602,0.986
603,0.9858
604,0.9855
605,0.986
606,0.9863
607,0.9862
608,0.9863
609,0.9863
610,0.986
611,0.9865
612,0.987
613,0.9871
614,0.9865
615,0.9861
616,0.9865
617,0.9857
618,0.9857
619,0.9863
620,0.9866
621,0.9868
622,0.9873
623,0.9861
624,0.9862
625,0.9858
626,0.9859
627,0.9861
628,0.9869
629,0.986
630,0.9863
631,0.9864
632,0.9863
633,0.986
634,0.9874
635,0.9864
636,0.9855
637,0.9867
638,0.9858
639,0.9865
640,0.9861
641,0.9862
642,0.987
643,0.9874
644,0.9866
645,0.9872
646,0.9861
647,0.9873
648,0.9872
649,0.987
650,0.987
651,0.9866
652,0.9869
653,0.9864
654,0.9866
655,0.986
656,0.9862
657,0.9871
658,0.9872
659,0.9863
660,0.9846
661,0.9876
662,0.9872
663,0.9863
664,0.9867
665,0.986
666,0.9864
667,0.9873
668,0.9868
669,0.9862
670,0.9874
671,0.9871
672,0.9868
673,0.9878
674,0.9875
675,0.9872
676,0.9871
677,0.9855
678,0.9871
679,0.9878
680,0.987
681,0.986
682,0.9864
683,0.9872
684,0.987
685,0.9866
686,0.9869
687,0.9869
688,0.9873
689,0.9865
690,0.9875
691,0.9876
692,0.9871
693,0.9873
694,0.9873
695,0.9878
696,0.9873
697,0.9873
698,0.9876
699,0.9858
700,0.9868
701,0.9869
702,0.9876
703,0.9872
704,0.9878
705,0.9875
706,0.9872
707,0.9874
708,0.9869
709,0.9877
710,0.9873
711,0.9883
712,0.988
713,0.9878
714,0.9871
715,0.9876
716,0.9874
717,0.987
718,0.9643
719,0.9809
720,0.9844
721,0.9871
722,0.9864
723,0.9873
724,0.9861
725,0.9864
726,0.9866
727,0.9872
728,0.9868
729,0.9864
730,0.9867
731,0.9874
732,0.987
733,0.9863
734,0.9867
735,0.9877
736,0.9873
737,0.9878
738,0.9875
739,0.987
740,0.9866
741,0.9871
742,0.9873
743,0.9866
744,0.9865
745,0.9868
746,0.9872
747,0.9876
748,0.9871
749,0.9867
750,0.9878
751,0.9874
752,0.9872
753,0.9881
754,0.9867
755,0.9876
756,0.9877
757,0.9875
758,0.9876
759,0.9872
760,0.987
761,0.9872
762,0.9872
763,0.9869
764,0.987
765,0.9872
766,0.987
767,0.9872
768,0.9877
769,0.988
770,0.988
771,0.9879
772,0.9879
773,0.9872
774,0.988
775,0.9881
776,0.9886
777,0.9876
778,0.9887
779,0.9879
780,0.9867
781,0.9881
782,0.9883
783,0.9881
784,0.9879
785,0.9881
786,0.9877
787,0.9874
788,0.9881
789,0.988
790,0.9883
791,0.9878
792,0.988
793,0.9877
794,0.9884
795,0.9873
796,0.9879
797,0.9888
798,0.988
799,0.9878
800,0.9881
801,0.9885
802,0.9876
803,0.9874
804,0.9878
805,0.9876
806,0.9861
807,0.9876
808,0.9878
809,0.9878
810,0.9877
811,0.9878
812,0.9883
813,0.9879
814,0.9872
815,0.9873
816,0.9875
817,0.9887
818,0.9878
819,0.9882
820,0.988
821,0.987
822,0.9875
823,0.9863
824,0.9866
825,0.9871
826,0.9872
827,0.9885
828,0.9879
829,0.9877
830,0.9886
831,0.9878
832,0.9876
833,0.9881
834,0.9884
835,0.9889
836,0.9886
837,0.9887
838,0.988
839,0.988
840,0.9885
841,0.9876
842,0.9879
843,0.9879
844,0.9877
845,0.9885
846,0.9875
847,0.9872
848,0.9882
849,0.9878
850,0.9887
851,0.9886
852,0.989
853,0.9889
854,0.9886
855,0.9887
856,0.9877
857,0.9876
858,0.9883
859,0.9884
860,0.9887
861,0.9876
862,0.9889
863,0.9889
864,0.9891
865,0.9879
866,0.9886
867,0.9893
868,0.9889
869,0.9879
870,0.9873
871,0.985
872,0.9892
873,0.9889
874,0.9887
875,0.988
876,0.9885
877,0.9884
878,0.9884
879,0.9889
880,0.9883
881,0.988
882,0.9878
883,0.9879
884,0.9893
885,0.9884
886,0.9884
887,0.9882
888,0.9881
889,0.9882
890,0.9884
891,0.9889
892,0.9888
893,0.9886
894,0.9884
895,0.9887
896,0.9887
897,0.9882
898,0.988
899,0.9891
900,0.9888
901,0.9891
902,0.9886
903,0.9879
904,0.9891
905,0.988
906,0.9878
907,0.9886
908,0.9882
909,0.9884
910,0.9884
911,0.988
912,0.9881
913,0.9888
914,0.9886
915,0.9721
916,0.987
917,0.9884
918,0.9896
919,0.9895
920,0.9893
921,0.9885
922,0.9888
923,0.9891
924,0.9886
925,0.9884
926,0.9879
927,0.9882
928,0.9883
929,0.9881
930,0.9881
931,0.9885
932,0.9886
933,0.9884
934,0.9891
935,0.9885
936,0.9885
937,0.9883
938,0.9881
939,0.9876
940,0.9883
941,0.9883
942,0.989
943,0.9889
944,0.9885
945,0.988
946,0.9883
947,0.9891
948,0.9882
949,0.9888
950,0.9889
951,0.9879
952,0.9891
953,0.9885
954,0.9888
955,0.9886
956,0.9885
957,0.9884
958,0.989
959,0.9883
960,0.9881
961,0.9881
962,0.9876
963,0.9876
964,0.9879
965,0.9872
966,0.9878
967,0.9879
968,0.9865
