Epoch,Training loss,Test loss,Test acc
1,1.9955,1.1448,0.8046
2,1.0883,0.4516,0.892
3,0.7608,0.3195,0.9155
4,0.6228,0.2508,0.9309
5,0.5386,0.216,0.9378
6,0.4707,0.1889,0.9445
7,0.4403,0.171,0.9503
8,0.4196,0.1584,0.9527
9,0.3862,0.1498,0.9545
10,0.368,0.1378,0.9582
11,0.3529,0.1332,0.9597
12,0.337,0.1246,0.9625
13,0.3161,0.1203,0.9631
14,0.3109,0.1139,0.9639
15,0.2986,0.1102,0.9648
16,0.2915,0.1061,0.9675
17,0.281,0.1034,0.9684
18,0.269,0.1007,0.9689
19,0.2666,0.0957,0.9698
20,0.2616,0.0938,0.9715
21,0.2475,0.0926,0.972
22,0.2484,0.0882,0.9727
23,0.2389,0.0875,0.9729
24,0.2389,0.0859,0.9738
25,0.2242,0.0824,0.9744
26,0.2175,0.0817,0.9751
27,0.2159,0.0799,0.9762
28,0.2259,0.0792,0.9757
29,0.2116,0.0761,0.976
30,0.2053,0.0764,0.9763
31,0.2089,0.0726,0.9775
32,0.2132,0.0719,0.9773
33,0.2064,0.0703,0.9781
34,0.2029,0.0693,0.9782
35,0.1887,0.0706,0.9781
36,0.1973,0.0679,0.9788
37,0.1951,0.0663,0.9791
38,0.1826,0.0664,0.9786
39,0.1875,0.0651,0.9791
40,0.1795,0.0652,0.9793
41,0.1791,0.0644,0.9793
42,0.1775,0.063,0.9795
43,0.1777,0.0622,0.9797
44,0.1819,0.0617,0.98
45,0.1741,0.059,0.9805
46,0.1764,0.0584,0.9814
47,0.1703,0.0585,0.9817
48,0.1647,0.0592,0.9812
49,0.1697,0.058,0.9814
50,0.1685,0.0574,0.9809
51,0.1627,0.0582,0.9815
52,0.1651,0.0571,0.9811
53,0.161,0.056,0.9818
54,0.1687,0.0554,0.9817
55,0.1635,0.0559,0.9816
56,0.1593,0.0548,0.9819
57,0.1582,0.0536,0.9826
58,0.1578,0.0532,0.9824
59,0.1559,0.0528,0.9826
60,0.1496,0.0532,0.9827
61,0.1548,0.0515,0.983
62,0.1502,0.0515,0.9825
63,0.1534,0.0507,0.9834
64,0.1535,0.0507,0.9839
65,0.1416,0.0503,0.9833
66,0.1458,0.0497,0.9836
67,0.1465,0.0497,0.984
68,0.1473,0.0493,0.9848
69,0.1404,0.0502,0.9841
70,0.1492,0.0489,0.985
71,0.146,0.0489,0.9847
72,0.1439,0.0475,0.9848
73,0.1388,0.0482,0.9847
74,0.1388,0.0482,0.9849
75,0.1369,0.0476,0.9848
76,0.1385,0.0477,0.9854
77,0.1318,0.0462,0.9854
78,0.1366,0.046,0.9854
79,0.1327,0.0473,0.9858
80,0.1312,0.0469,0.9859
81,0.1293,0.0456,0.9855
82,0.1399,0.0458,0.9855
83,0.1326,0.0453,0.9855
84,0.1262,0.0461,0.9857
85,0.13,0.0439,0.9866
86,0.1331,0.0447,0.9865
87,0.1286,0.0446,0.9863
88,0.1381,0.0446,0.9862
89,0.1271,0.0446,0.9865
90,0.1279,0.0441,0.9866
91,0.1289,0.0445,0.9862
92,0.128,0.0432,0.9863
93,0.1248,0.0443,0.9864
94,0.1286,0.0437,0.9863
95,0.1208,0.0434,0.9869
96,0.1239,0.044,0.9863
97,0.1223,0.0434,0.9872
98,0.1228,0.0432,0.9869
99,0.1179,0.0436,0.9868
100,0.1199,0.0428,0.9873
