Epoch,Training loss,Test loss,Test acc
1,2.3008,2.2213,0.344
2,2.2246,2.1354,0.6761
3,2.1377,2.0004,0.6367
4,2.0015,1.7769,0.6573
5,1.7875,1.9044,0.1903
6,1.898,3.0699,0.2867
7,3.0998,2.2487,0.2114
8,2.2496,2.1921,0.2449
9,2.1927,2.1037,0.2949
10,2.099,1.9579,0.3858
11,1.9659,1.731,0.4796
12,1.7413,1.4099,0.5826
13,1.4338,1.121,0.7613
14,1.1301,3.7521,0.2974
15,3.8271,2.3144,0.2279
16,2.3281,2.2077,0.3411
17,2.205,2.1373,0.3561
18,2.1489,2.0494,0.4005
19,2.0519,1.9425,0.3788
20,1.9672,1.8544,0.532
21,1.8649,1.6243,0.5286
22,1.6207,1.4419,0.634
23,1.4691,1.0711,0.6612
24,1.0792,1.2533,0.5623
25,1.2819,1.6781,0.4602
26,1.6637,1.6586,0.6408
27,1.6671,1.1615,0.6789
28,1.1778,1.1513,0.6304
29,1.1651,0.7546,0.785
30,0.7962,0.6281,0.8054
31,0.6524,0.655,0.7703
32,0.6959,1.4615,0.5733
33,1.4886,1.238,0.58
34,1.2764,1.2245,0.5481
35,1.2394,1.0905,0.6024
36,1.1251,0.6031,0.8395
37,0.6553,0.4309,0.8837
38,0.4427,0.3796,0.8854
39,0.405,0.4181,0.8559
40,0.423,0.5481,0.8155
41,0.5626,0.7251,0.8032
42,0.7569,0.5235,0.8503
43,0.5534,0.4276,0.8774
44,0.4582,0.318,0.9121
45,0.3407,0.287,0.9174
46,0.3178,0.271,0.9247
47,0.2987,0.2637,0.9216
48,0.293,0.2675,0.9189
49,0.2997,0.2796,0.9169
50,0.2896,0.3107,0.9055
51,0.323,0.3384,0.8981
52,0.3699,0.3699,0.8877
53,0.3962,0.2902,0.919
54,0.3059,0.2213,0.9367
55,0.2409,0.2086,0.9394
56,0.2276,0.202,0.9387
57,0.2229,0.1969,0.9409
58,0.2196,0.1917,0.9423
59,0.2206,0.1863,0.9433
60,0.2023,0.1826,0.9436
61,0.1992,0.1808,0.9448
62,0.1965,0.1783,0.9439
63,0.2108,0.1765,0.9471
64,0.1859,0.1769,0.9436
65,0.1999,0.1734,0.9479
66,0.1968,0.1753,0.944
67,0.1804,0.1772,0.9458
68,0.2086,0.2045,0.9337
69,0.2308,0.2946,0.9078
70,0.333,0.433,0.8472
71,0.4478,0.8606,0.7539
72,0.8662,0.4254,0.8614
73,0.4538,0.2355,0.9375
74,0.2459,0.195,0.9438
75,0.2058,0.1812,0.946
76,0.2075,0.1731,0.9489
77,0.1939,0.1669,0.9492
78,0.19,0.1601,0.9508
79,0.1663,0.1569,0.9507
80,0.1776,0.1531,0.9521
81,0.1712,0.1502,0.9521
82,0.1829,0.1477,0.9537
83,0.1529,0.1446,0.9536
84,0.1589,0.1428,0.9554
85,0.1584,0.1398,0.9552
86,0.1568,0.1396,0.9556
87,0.1436,0.1357,0.9565
88,0.1549,0.1347,0.957
89,0.168,0.1342,0.9579
90,0.1452,0.1291,0.9591
91,0.1524,0.1278,0.9596
92,0.1596,0.1282,0.9607
93,0.1511,0.1261,0.96
94,0.1477,0.1225,0.9617
95,0.1381,0.1244,0.96
96,0.1469,0.1204,0.9615
97,0.1313,0.1199,0.9615
98,0.1333,0.1185,0.9615
99,0.14,0.1156,0.9625
100,0.1266,0.1154,0.9626
101,0.1335,0.1159,0.9624
102,0.138,0.1156,0.9642
103,0.1259,0.1143,0.9629
104,0.1265,0.1117,0.9648
105,0.1254,0.1145,0.9641
106,0.1156,0.1115,0.9648
107,0.1264,0.1111,0.9646
108,0.1274,0.1093,0.9643
109,0.1184,0.1097,0.9661
110,0.1282,0.1111,0.9639
111,0.1208,0.1103,0.9654
112,0.1312,0.1117,0.9655
113,0.1244,0.1102,0.966
114,0.1281,0.1069,0.967
115,0.126,0.1058,0.9674
116,0.1188,0.1003,0.9678
117,0.1061,0.1005,0.9693
118,0.1068,0.0992,0.9689
119,0.1123,0.0995,0.9681
120,0.1133,0.0981,0.9699
121,0.1164,0.097,0.9702
122,0.1018,0.0958,0.9699
