Epoch,Training loss,Test loss,Test acc
1,2.0593,1.995,0.4529
2,1.1631,0.6769,0.7702
3,0.3248,0.2361,0.9275
4,0.196,0.1861,0.9432
5,0.1199,0.1557,0.9518
6,0.114,0.1437,0.955
7,0.0756,0.1185,0.9625
8,0.0708,0.1058,0.9667
9,0.0501,0.0992,0.9692
10,0.1538,0.1203,0.9607
11,0.0372,0.0903,0.9727
12,0.0344,0.0821,0.9745
13,0.0247,0.0801,0.9761
14,0.0508,0.0892,0.9731
15,0.0304,0.0754,0.9764
16,0.0351,0.0729,0.9771
17,0.0356,0.0727,0.9775
18,0.0322,0.0666,0.9789
19,0.0191,0.0668,0.9793
20,0.0526,0.0756,0.9772
21,0.0166,0.067,0.9795
22,0.0566,0.0719,0.978
23,0.0179,0.0622,0.9797
24,0.0159,0.0603,0.9807
25,0.0143,0.0595,0.9808
26,0.0384,0.0579,0.9812
27,0.0132,0.0555,0.9811
28,0.0146,0.0538,0.9825
29,0.014,0.053,0.9824
30,0.0106,0.0513,0.9833
31,0.0953,0.0619,0.9799
32,0.0135,0.0531,0.9821
33,0.0108,0.0526,0.9834
34,0.0108,0.0513,0.9832
35,0.0104,0.0494,0.9839
36,0.0093,0.0499,0.9838
37,0.0582,0.0604,0.9802
38,0.0104,0.0528,0.983
39,0.0087,0.0513,0.9838
40,0.0078,0.0498,0.9838
41,0.0071,0.0492,0.9845
42,0.0082,0.0506,0.9845
43,0.0077,0.0497,0.9842
44,0.0076,0.0488,0.9856
45,0.0483,0.162,0.9512
46,0.0288,0.0513,0.9841
47,0.0121,0.0482,0.9849
48,0.0089,0.0457,0.9857
49,0.0081,0.0458,0.9857
50,0.007,0.0465,0.9856
51,0.0065,0.0462,0.9856
52,0.0064,0.0468,0.9853
53,0.0229,0.047,0.9857
54,0.0061,0.0464,0.985
55,0.0062,0.0455,0.986
56,0.0058,0.0442,0.986
57,0.0054,0.0461,0.9857
58,0.0415,0.0475,0.9851
59,0.0059,0.0448,0.9867
60,0.0064,0.0438,0.9866
61,0.0064,0.0436,0.9863
62,0.0053,0.045,0.987
63,0.0048,0.0451,0.9869
64,0.0053,0.0459,0.9865
65,0.0176,0.0457,0.9858
66,0.0052,0.0447,0.9869
67,0.0047,0.0451,0.9864
68,0.0151,0.0435,0.9873
69,0.0052,0.0432,0.9873
70,0.0048,0.0436,0.9874
71,0.0453,0.0644,0.9816
72,0.0061,0.0452,0.9864
73,0.0047,0.0433,0.9865
74,0.0043,0.0435,0.9873
75,0.0049,0.042,0.9873
76,0.0053,0.0413,0.9873
77,0.0035,0.0408,0.9878
78,0.0037,0.0408,0.9872
79,0.0051,0.0406,0.9877
80,0.0445,0.0504,0.9843
81,0.0056,0.0417,0.9875
82,0.0038,0.041,0.9875
83,0.0043,0.0416,0.9876
84,0.0046,0.0413,0.9874
85,0.0046,0.0396,0.9881
