Epoch,Training loss,Test loss,Test acc
1,0.0278,2.7597,0.1563
2,0.0143,1.5515,0.6312
3,0.0126,1.1673,0.6329
4,0.0094,0.8934,0.658
5,0.0074,0.5962,0.7943
6,0.0055,0.5439,0.8458
7,0.0059,0.4484,0.8587
8,0.0051,0.4017,0.8612
9,0.0035,0.3422,0.8928
10,0.0054,0.431,0.8318
11,0.0036,0.2648,0.9163
12,0.0038,0.2252,0.9288
13,0.0055,0.3203,0.8703
14,0.0039,0.2268,0.9185
15,0.005,0.1921,0.9414
16,0.0021,0.1471,0.9542
17,0.003,0.143,0.9535
18,0.0033,0.1608,0.953
19,0.0043,0.1429,0.9554
20,0.0018,0.1244,0.961
21,0.0032,0.1761,0.94
22,0.002,0.1354,0.953
23,0.0021,0.1784,0.9385
24,0.0042,0.13,0.9589
25,0.0025,0.2203,0.9216
26,0.0038,0.1846,0.9297
27,0.0014,0.1576,0.9439
28,0.0023,0.2445,0.9047
29,0.0015,0.1161,0.9625
30,0.0018,0.11,0.965
31,0.002,0.1464,0.9523
32,0.0029,0.1118,0.9639
33,0.0032,0.1043,0.9692
34,0.0014,0.105,0.9631
35,0.0015,0.1117,0.9608
36,0.0017,0.0909,0.9697
37,0.0027,0.0965,0.9662
38,0.0031,0.1354,0.9531
39,0.0014,0.0703,0.9775
40,0.0014,0.082,0.9723
41,0.0043,0.0805,0.9741
42,0.0011,0.0976,0.9664
43,0.0015,0.0996,0.9662
44,0.0018,0.0902,0.9674
45,0.0009,0.1026,0.9669
46,0.0014,0.0656,0.979
47,0.0017,0.0957,0.969
48,0.0016,0.1025,0.9652
49,0.0025,0.0791,0.9735
50,0.0013,0.0674,0.9784
51,0.0009,0.064,0.9788
52,0.0014,0.0665,0.9756
53,0.0014,0.0602,0.9792
54,0.0009,0.0665,0.978
55,0.0009,0.0545,0.9811
56,0.0017,0.0644,0.9787
57,0.0013,0.059,0.9801
58,0.0008,0.0869,0.9718
59,0.002,0.1082,0.9613
60,0.0015,0.066,0.9786
61,0.0009,0.0602,0.9804
62,0.0008,0.0616,0.9767
63,0.0012,0.0647,0.9787
64,0.0019,0.0733,0.975
65,0.0024,0.0668,0.9776
66,0.001,0.0535,0.983
67,0.0007,0.0558,0.9826
68,0.0024,0.0893,0.9702
69,0.0009,0.0822,0.9725
70,0.0009,0.0996,0.963
71,0.0014,0.0712,0.9755
72,0.0021,0.0588,0.9801
73,0.0007,0.0622,0.9794
74,0.0015,0.0577,0.9807
75,0.0005,0.054,0.9817
76,0.0009,0.0625,0.9789
77,0.0009,0.0647,0.9784
78,0.0014,0.0632,0.9796
79,0.0006,0.0686,0.9774
80,0.0009,0.0632,0.9788
81,0.001,0.0439,0.9852
82,0.0007,0.0498,0.9827
83,0.0022,0.0554,0.98
84,0.0008,0.0814,0.972
85,0.0012,0.0525,0.9824
86,0.0012,0.0523,0.9823
87,0.0005,0.0685,0.9773
88,0.0008,0.0451,0.9857
89,0.0016,0.0528,0.9827
90,0.0006,0.0413,0.9855
91,0.0004,0.052,0.9827
92,0.0004,0.0541,0.9818
93,0.0012,0.0498,0.9818
94,0.0004,0.0494,0.9827
95,0.0011,0.0506,0.9828
96,0.0004,0.0661,0.9782
97,0.0016,0.0727,0.9747
98,0.0005,0.071,0.9753
99,0.0013,0.0447,0.9841
100,0.0016,0.045,0.9838
101,0.0006,0.0423,0.9853
102,0.0003,0.0467,0.9849
103,0.0006,0.0384,0.9874
104,0.0016,0.0466,0.9854
105,0.0016,0.042,0.9865
106,0.0004,0.0388,0.9876
107,0.0006,0.0385,0.9869
108,0.0007,0.0449,0.9848
109,0.0009,0.0422,0.9854
110,0.0024,0.0535,0.9824
111,0.001,0.0544,0.9811
112,0.001,0.0511,0.9824
113,0.0008,0.0557,0.9819
114,0.0004,0.0386,0.9872
115,0.0005,0.0424,0.9862
116,0.0005,0.0696,0.9768
117,0.0006,0.0364,0.9869
118,0.0016,0.0467,0.9844
119,0.001,0.0453,0.9855
120,0.0013,0.0371,0.987
121,0.001,0.0391,0.9864
122,0.0011,0.0583,0.9789
123,0.001,0.0472,0.9843
124,0.0005,0.0592,0.9813
125,0.0004,0.0441,0.9846
126,0.0004,0.0542,0.9822
127,0.0006,0.0539,0.9834
128,0.0005,0.0642,0.9792
129,0.0018,0.054,0.9826
130,0.0003,0.0415,0.9874
131,0.0006,0.054,0.9829
132,0.0003,0.0605,0.9804
133,0.0008,0.0763,0.9739
134,0.0009,0.0487,0.9832
135,0.0004,0.036,0.9872
136,0.0007,0.0327,0.9891
137,0.0005,0.0407,0.9865
138,0.0006,0.0374,0.9873
139,0.0004,0.0469,0.9845
140,0.0012,0.0474,0.9842
141,0.0006,0.0492,0.9834
142,0.0005,0.0338,0.9885
143,0.0004,0.0317,0.9891
144,0.0014,0.0453,0.9861
145,0.0005,0.035,0.9882
146,0.0003,0.0424,0.9853
147,0.0008,0.0463,0.9854
148,0.0004,0.0426,0.987
149,0.0005,0.0402,0.9869
150,0.0007,0.051,0.9841
151,0.0004,0.0408,0.9868
152,0.0004,0.0382,0.9875
153,0.0018,0.0517,0.9829
154,0.0004,0.0377,0.9876
155,0.0005,0.0358,0.9881
156,0.0006,0.0379,0.9878
157,0.0007,0.0383,0.9871
158,0.0003,0.0352,0.9892
159,0.0004,0.0453,0.9854
160,0.0013,0.0374,0.9879
161,0.0006,0.0479,0.9854
162,0.0003,0.0367,0.9885
163,0.0003,0.0384,0.9883
164,0.0004,0.04,0.9875
165,0.0028,0.0399,0.9874
166,0.0002,0.0377,0.9893
167,0.0002,0.0401,0.988
168,0.0004,0.0403,0.9878
169,0.0004,0.0339,0.9899
170,0.0005,0.0373,0.9875
171,0.0003,0.0331,0.9897
172,0.0003,0.0312,0.9898
173,0.0005,0.0315,0.9891
174,0.0006,0.0314,0.9903
175,0.0004,0.0342,0.9895
176,0.0004,0.0353,0.9896
177,0.0003,0.0559,0.9827
178,0.0005,0.0387,0.9891
179,0.0011,0.0332,0.989
180,0.0004,0.032,0.9892
181,0.0007,0.0354,0.9883
182,0.0007,0.0367,0.988
183,0.0004,0.0472,0.9853
184,0.0002,0.0376,0.9876
185,0.0004,0.0335,0.9898
186,0.0003,0.036,0.9891
187,0.0002,0.0311,0.9898
188,0.0004,0.0333,0.9895
189,0.001,0.0361,0.9884
190,0.0005,0.0352,0.9886
191,0.0002,0.0348,0.9883
192,0.0002,0.0364,0.9881
193,0.0005,0.0526,0.9848
194,0.0007,0.0348,0.9886
195,0.0003,0.0405,0.9868
196,0.0007,0.0366,0.9886
197,0.0003,0.0341,0.9884
198,0.0004,0.0489,0.9849
199,0.0002,0.0442,0.9868
200,0.0008,0.0336,0.9888
201,0.0003,0.0525,0.9848
202,0.0003,0.0366,0.9894
203,0.0002,0.0357,0.9885
204,0.0005,0.0459,0.9861
205,0.0008,0.0688,0.9783
206,0.0005,0.0473,0.9855
207,0.0003,0.0422,0.9866
208,0.0003,0.0434,0.9863
209,0.0002,0.0396,0.9873
210,0.0003,0.0333,0.9901
211,0.0003,0.0332,0.9888
212,0.0002,0.034,0.9895
213,0.0002,0.0371,0.9886
214,0.0009,0.0488,0.9849
215,0.0015,0.0485,0.9847
216,0.0002,0.0371,0.988
217,0.0004,0.033,0.9896
218,0.0002,0.0479,0.9862
219,0.0003,0.0367,0.9887
220,0.0003,0.036,0.9883
221,0.0001,0.0342,0.9892
222,0.0002,0.038,0.9882
223,0.0003,0.0371,0.9894
224,0.0001,0.0363,0.9896
225,0.001,0.0358,0.9889
226,0.0009,0.0391,0.9878
227,0.0002,0.0326,0.9898
228,0.0001,0.0335,0.989
229,0.0002,0.0352,0.9891
230,0.0002,0.033,0.9894
231,0.0002,0.0385,0.9882
232,0.0002,0.0365,0.9886
233,0.003,0.0319,0.9891
234,0.0002,0.0458,0.9855
235,0.0002,0.0349,0.9894
236,0.0002,0.0306,0.9899
237,0.0003,0.0291,0.9908
238,0.0003,0.0318,0.991
239,0.001,0.0324,0.9901
240,0.0003,0.036,0.9889
241,0.0003,0.0345,0.9893
242,0.0008,0.0316,0.9907
243,0.0004,0.0304,0.9904
244,0.0001,0.0321,0.989
245,0.0004,0.034,0.9887
246,0.0003,0.0392,0.9883
247,0.0003,0.0322,0.9906
248,0.0003,0.032,0.9896
249,0.0001,0.033,0.9903
250,0.0005,0.0319,0.9904
251,0.0004,0.035,0.9895
252,0.0002,0.0409,0.987
253,0.0007,0.0442,0.9853
254,0.0002,0.0345,0.9899
255,0.0002,0.0305,0.9906
256,0.0001,0.0326,0.991
257,0.0002,0.0349,0.9893
258,0.0002,0.0344,0.9895
259,0.0003,0.0325,0.9912
260,0.0003,0.0333,0.9907
261,0.0003,0.0332,0.9903
262,0.0001,0.0571,0.9825
263,0.0001,0.0334,0.9896
264,0.0002,0.0487,0.9855
265,0.0003,0.0313,0.9904
266,0.0002,0.0392,0.9888
267,0.0001,0.0552,0.9832
268,0.0001,0.0316,0.9906
269,0.0005,0.0333,0.9901
270,0.0003,0.0303,0.9907
271,0.0002,0.0335,0.9909
272,0.0015,0.0401,0.9876
273,0.0002,0.0317,0.9906
274,0.0009,0.0322,0.9903
275,0.0001,0.0323,0.9914
276,0.0002,0.0366,0.989
277,0.0001,0.0356,0.9887
278,0.0018,0.0379,0.9889
279,0.0001,0.0371,0.9888
280,0.0002,0.0352,0.9896
281,0.001,0.0354,0.9893
282,0.0004,0.042,0.9868
283,0.0001,0.0386,0.9891
284,0.0001,0.0432,0.9868
285,0.0007,0.0429,0.9868
286,0.0002,0.0338,0.99
287,0.0001,0.033,0.9896
288,0.0002,0.0368,0.9885
289,0.0001,0.047,0.9871
290,0.0008,0.0311,0.991
291,0.0001,0.0346,0.9895
292,0.0002,0.0322,0.9914
293,0.0002,0.0359,0.989
294,0.0002,0.0337,0.9902
295,0.0001,0.0519,0.9846
296,0.0001,0.038,0.9889
297,0.0002,0.0314,0.9905
298,0.0002,0.032,0.9903
299,0.0002,0.0314,0.9908
300,0.0002,0.0306,0.9914
301,0.0002,0.0319,0.991
302,0.0002,0.0368,0.9893
303,0.0002,0.0358,0.9901
304,0.0002,0.0329,0.9913
305,0.0001,0.0373,0.9894
306,0.0006,0.0314,0.9909
307,0.0001,0.0324,0.9902
308,0.0011,0.038,0.989
309,0.0002,0.0345,0.9905
310,0.0002,0.03,0.9911
311,0.0006,0.0374,0.9898
312,0.0001,0.0337,0.9897
313,0.0002,0.0338,0.9903
314,0.0004,0.0338,0.9904
315,0.0001,0.0346,0.9908
316,0.0002,0.0311,0.9911
317,0.0002,0.0357,0.9897
318,0.0002,0.0348,0.9896
319,0.0003,0.0315,0.9904
320,0.0001,0.0409,0.9879
321,0.0001,0.0354,0.9903
322,0.0001,0.0381,0.9895
323,0.0025,0.0406,0.9881
324,0.0002,0.0308,0.99
325,0.0001,0.0305,0.9909
326,0.0001,0.0367,0.9899
327,0.0001,0.0324,0.9907
328,0.0001,0.0332,0.9908
329,0.0001,0.0317,0.9913
330,0.0001,0.0362,0.9898
331,0.0001,0.0318,0.9907
332,0.0001,0.0325,0.9909
333,0.0001,0.037,0.9895
334,0.0001,0.0342,0.9909
335,0.0003,0.0335,0.9911
336,0.0001,0.0337,0.9903
337,0.0017,0.0326,0.9909
338,0.0002,0.0354,0.9899
339,0.0001,0.0301,0.9904
340,0.0001,0.0476,0.9866
341,0.0001,0.042,0.9886
342,0.0002,0.0316,0.991
343,0.0001,0.0321,0.9912
344,0.0001,0.0354,0.9903
345,0.0001,0.0367,0.9897
346,0.0001,0.0371,0.989
347,0.0001,0.0338,0.9908
348,0.0001,0.0302,0.9911
349,0.0001,0.0326,0.9906
350,0.0001,0.0312,0.9916
351,0.0002,0.0323,0.9911
352,0.0001,0.0305,0.9919
353,0.0001,0.0324,0.9917
354,0.0002,0.038,0.9894
355,0.0002,0.0334,0.9903
356,0.0001,0.0318,0.9905
357,0.0002,0.0294,0.9909
358,0.0001,0.0318,0.9907
359,0.0001,0.0323,0.9917
360,0.0001,0.0325,0.9908
361,0.0001,0.0316,0.9911
362,0.0007,0.0299,0.9914
363,0.0001,0.0302,0.991
364,0.0001,0.0332,0.9913
365,0.0001,0.0322,0.9901
366,0.0002,0.0324,0.9903
367,0.0005,0.0324,0.9905
368,0.0001,0.033,0.9901
369,0.0004,0.0336,0.9899
