Dataset,Model,Num of rounds,E,B,C,Lr,Time elapsed
mnist,cnn,100,5,600,0.0,0.01,169.73477816581726
Epoch,Training loss,Test loss,Test acc
1,2.3369,2.3116,0.0803
2,2.3221,2.3034,0.104
3,2.3126,2.2962,0.1366
4,2.3119,2.29,0.1655
5,2.3043,2.2836,0.1848
6,2.2967,2.2774,0.1998
7,2.2938,2.2716,0.231
8,2.2882,2.2659,0.2615
9,2.2782,2.2603,0.2707
10,2.27,2.2536,0.2843
11,2.2769,2.2474,0.3023
12,2.2576,2.2407,0.3192
13,2.2697,2.234,0.3484
14,2.2478,2.2262,0.3659
15,2.2413,2.2177,0.3868
16,2.242,2.2094,0.4209
17,2.2371,2.2003,0.4367
18,2.228,2.1903,0.4437
19,2.2091,2.1792,0.4551
20,2.2019,2.1674,0.4729
21,2.1984,2.1547,0.4798
22,2.1806,2.1405,0.492
23,2.1774,2.1264,0.5023
24,2.1663,2.1104,0.5026
25,2.1581,2.093,0.5034
26,2.1295,2.0724,0.5204
27,2.1175,2.051,0.5387
28,2.1079,2.0291,0.5547
29,2.0921,2.0058,0.5585
30,2.0623,1.9793,0.5675
31,2.0353,1.9493,0.5747
32,2.0332,1.919,0.572
33,2.0126,1.8894,0.5757
34,1.9722,1.856,0.5684
35,1.9741,1.8243,0.6
36,1.96,1.7902,0.6191
37,1.9272,1.7565,0.6206
38,1.9021,1.7217,0.6167
39,1.857,1.683,0.6141
40,1.8388,1.644,0.6265
41,1.82,1.6103,0.6482
42,1.8048,1.5773,0.6673
43,1.7967,1.5425,0.6861
44,1.7363,1.5033,0.6956
45,1.6922,1.4622,0.6978
46,1.7102,1.4306,0.7116
47,1.6817,1.3959,0.722
48,1.6425,1.3608,0.7282
49,1.6593,1.3336,0.7308
50,1.5833,1.2945,0.7446
51,1.5515,1.2548,0.7623
52,1.5477,1.2244,0.7646
53,1.5399,1.1903,0.7759
54,1.5381,1.1672,0.7813
55,1.4694,1.1351,0.7827
56,1.4193,1.1006,0.7986
57,1.464,1.0764,0.7868
58,1.3994,1.0512,0.7999
59,1.448,1.0287,0.8032
60,1.3456,1.002,0.8027
61,1.3359,0.9803,0.8044
62,1.3153,0.9543,0.8046
63,1.2867,0.9322,0.8139
64,1.3171,0.9145,0.8195
65,1.2829,0.8928,0.8101
66,1.242,0.8773,0.8143
67,1.2318,0.8541,0.8243
68,1.2098,0.8357,0.8232
69,1.2017,0.8233,0.8185
70,1.1186,0.7996,0.8188
71,1.1714,0.7809,0.8284
72,1.1336,0.7601,0.8379
73,1.1676,0.7504,0.8429
74,1.1328,0.7342,0.8415
75,1.1286,0.7263,0.8441
76,1.1215,0.7173,0.8488
77,1.085,0.7005,0.8499
78,1.0304,0.683,0.8494
79,1.0877,0.6786,0.8515
80,1.0656,0.6685,0.8513
81,1.0731,0.6654,0.8536
82,1.0358,0.6498,0.8575
83,0.9929,0.6388,0.856
84,1.0371,0.6274,0.8557
85,1.0007,0.6155,0.8591
86,0.9798,0.6053,0.8609
87,0.9873,0.5987,0.8619
88,0.9677,0.5939,0.8638
89,0.9872,0.5831,0.8629
90,0.9933,0.5807,0.8701
91,0.9573,0.5715,0.8668
92,0.9609,0.5671,0.8663
93,0.9602,0.5587,0.8717
94,0.9322,0.5534,0.8728
95,0.9789,0.5507,0.8762
96,0.9481,0.5435,0.8724
97,0.945,0.5362,0.8775
98,0.9039,0.5324,0.8708
99,0.9169,0.5236,0.8781
100,0.8914,0.5162,0.8771
