Dataset,Model,Num of rounds,E,B,C,Lr,Time elapsed
mnist,cnn,1000,5,600,0.0,0.01,1874.0160236358643
Epoch,Training loss,Test loss,Test acc
1,2.3287,2.3078,0.0946
2,2.3107,2.2997,0.0981
3,2.2945,2.2936,0.1039
4,2.3068,2.2871,0.1191
5,2.3005,2.2812,0.1345
6,2.2896,2.2757,0.1417
7,2.2845,2.2708,0.1521
8,2.2827,2.2651,0.1758
9,2.2724,2.2601,0.1829
10,2.2675,2.2538,0.1962
11,2.2634,2.2471,0.2105
12,2.2658,2.2405,0.2205
13,2.2492,2.2334,0.2584
14,2.2512,2.2248,0.2946
15,2.2459,2.2168,0.3002
16,2.2385,2.2085,0.3067
17,2.2276,2.1993,0.3351
18,2.2213,2.1889,0.3434
19,2.2152,2.1782,0.3587
20,2.209,2.1668,0.3984
21,2.1928,2.1538,0.3893
22,2.1696,2.1382,0.4402
23,2.1701,2.1234,0.4783
24,2.165,2.1069,0.5147
25,2.1525,2.0901,0.5383
26,2.1471,2.0731,0.5386
27,2.1229,2.0514,0.5578
28,2.0925,2.0261,0.5583
29,2.097,2.004,0.5892
30,2.0598,1.9752,0.5785
31,2.0481,1.9458,0.6037
32,2.0329,1.9166,0.637
33,2.0133,1.8839,0.6389
34,1.9929,1.8502,0.6366
35,1.9622,1.816,0.669
36,1.9181,1.7757,0.6517
37,1.8928,1.7345,0.6404
38,1.8811,1.6969,0.6629
39,1.866,1.6589,0.6958
40,1.8334,1.6144,0.6986
41,1.802,1.5741,0.7117
42,1.7846,1.5344,0.7339
43,1.7167,1.484,0.7433
44,1.72,1.446,0.7346
45,1.6882,1.4012,0.7646
46,1.6623,1.3625,0.7651
47,1.6197,1.3216,0.7686
48,1.5935,1.2839,0.7674
49,1.6139,1.2561,0.7673
50,1.5391,1.2145,0.7632
51,1.4937,1.1667,0.7778
52,1.5026,1.1368,0.7979
53,1.479,1.1002,0.8032
54,1.4478,1.0661,0.8119
55,1.4053,1.0353,0.8122
56,1.3752,1.0017,0.8071
57,1.3597,0.968,0.8171
58,1.3039,0.9372,0.8171
59,1.2865,0.9102,0.8247
60,1.3412,0.8931,0.8306
61,1.3103,0.8769,0.8261
62,1.2368,0.8503,0.825
63,1.2947,0.8354,0.8304
64,1.2069,0.8121,0.8366
65,1.235,0.7965,0.8388
66,1.2472,0.7804,0.8396
67,1.1935,0.7622,0.8472
68,1.1291,0.7341,0.8423
69,1.1659,0.7214,0.8418
70,1.1587,0.7178,0.8446
71,1.188,0.7035,0.8489
72,1.0816,0.6888,0.8391
73,1.1303,0.6734,0.8548
74,1.096,0.6611,0.8528
75,1.0522,0.6431,0.8568
76,1.1118,0.6345,0.8623
77,1.0444,0.6212,0.8642
78,1.0241,0.6122,0.8609
79,1.0513,0.6022,0.8634
80,1.0551,0.6004,0.8617
81,0.9898,0.5853,0.8644
82,0.9973,0.5727,0.8683
83,0.9491,0.5658,0.867
84,0.9861,0.5665,0.8689
85,0.9142,0.5494,0.8713
86,1.0135,0.5444,0.8754
87,0.9909,0.5426,0.8767
88,1.0123,0.542,0.876
89,0.9238,0.5262,0.8778
90,0.9349,0.5188,0.8772
91,0.9599,0.5115,0.8815
92,0.8686,0.5025,0.8792
93,0.8394,0.4953,0.8799
94,0.9137,0.4931,0.8798
95,0.858,0.4874,0.8788
96,0.8881,0.483,0.8834
97,0.8762,0.4766,0.8842
98,0.9099,0.4799,0.8849
99,0.8963,0.4746,0.8877
