Epoch,Training loss,Test loss,Test acc
1,2.324,2.2984,0.15
2,2.3064,2.2888,0.1618
3,2.3006,2.2803,0.1767
4,2.2921,2.2723,0.197
5,2.2845,2.2643,0.2202
6,2.2809,2.2563,0.2493
7,2.2731,2.2483,0.2836
8,2.264,2.2398,0.3119
9,2.2595,2.2312,0.334
10,2.252,2.2221,0.3564
11,2.2396,2.2117,0.3768
12,2.2371,2.2012,0.3918
13,2.2282,2.1899,0.4045
14,2.2183,2.1779,0.412
15,2.2083,2.1646,0.4223
16,2.2,2.1505,0.4334
17,2.187,2.1351,0.4435
18,2.1725,2.1182,0.4552
19,2.1621,2.1001,0.475
20,2.1496,2.0808,0.4875
21,2.1331,2.0596,0.5033
22,2.1131,2.0363,0.5151
23,2.1025,2.0124,0.5282
24,2.0773,1.9855,0.5369
25,2.0637,1.9582,0.5472
26,2.0402,1.9285,0.5654
27,2.0086,1.8957,0.5727
28,1.9908,1.8626,0.5829
29,1.962,1.8273,0.587
30,1.9501,1.7929,0.5993
31,1.9185,1.7558,0.6072
32,1.8908,1.7167,0.6161
33,1.8658,1.6779,0.6251
34,1.842,1.6385,0.629
35,1.807,1.5981,0.6429
36,1.7841,1.5585,0.65
37,1.7507,1.5181,0.6583
38,1.7399,1.4798,0.6695
39,1.6935,1.4379,0.6795
40,1.6618,1.3971,0.6964
41,1.6397,1.36,0.7024
42,1.6209,1.323,0.7077
43,1.5881,1.2859,0.7188
44,1.5596,1.2488,0.731
45,1.5392,1.2151,0.7365
46,1.5169,1.1829,0.7447
47,1.4925,1.1496,0.7503
48,1.4718,1.1186,0.7621
49,1.4461,1.0886,0.7628
50,1.4146,1.0576,0.7703
51,1.4058,1.032,0.7749
52,1.379,1.0054,0.7795
53,1.3735,0.9809,0.7871
54,1.3308,0.9542,0.7925
55,1.3254,0.9329,0.7971
56,1.2913,0.9088,0.8
57,1.3009,0.8894,0.8053
58,1.2714,0.8674,0.8127
59,1.2551,0.8493,0.8147
60,1.2266,0.8281,0.8188
61,1.2211,0.8109,0.8209
62,1.204,0.7944,0.8243
63,1.1817,0.777,0.8271
64,1.1521,0.7572,0.8297
65,1.1546,0.7429,0.8331
66,1.1474,0.7307,0.836
67,1.1243,0.7167,0.836
68,1.116,0.7042,0.8372
69,1.1028,0.693,0.8401
70,1.0862,0.6779,0.8429
71,1.0734,0.6653,0.8462
72,1.0812,0.6555,0.8476
73,1.0456,0.6446,0.8488
74,1.0479,0.6347,0.8498
75,1.0345,0.6239,0.8523
76,1.0182,0.6139,0.8544
77,1.0256,0.607,0.8556
78,1.0196,0.5997,0.8566
79,0.9936,0.5887,0.8587
80,0.9856,0.5817,0.8607
81,0.9843,0.5754,0.862
82,0.9626,0.5674,0.8631
83,0.9508,0.5578,0.8655
84,0.9477,0.5514,0.8651
85,0.9424,0.545,0.8673
86,0.9566,0.5367,0.8682
87,0.9408,0.5305,0.8705
88,0.9325,0.5268,0.8717
89,0.9266,0.5213,0.8729
90,0.9247,0.5186,0.8743
91,0.9142,0.5103,0.8771
92,0.9264,0.5081,0.8769
93,0.8926,0.5008,0.8773
94,0.8883,0.4927,0.8801
95,0.8744,0.4875,0.8812
96,0.8728,0.4853,0.8809
97,0.8537,0.4784,0.8823
98,0.845,0.4719,0.8834
99,0.8593,0.4694,0.8844
100,0.8548,0.466,0.8835
101,0.8486,0.4592,0.8863
102,0.8514,0.4574,0.8871
103,0.8312,0.4532,0.8864
104,0.847,0.451,0.8884
105,0.8421,0.4472,0.8893
106,0.8148,0.4422,0.8893
107,0.8095,0.4378,0.8894
108,0.8034,0.4345,0.8895
109,0.819,0.4313,0.8912
110,0.8186,0.4292,0.8921
111,0.8021,0.4252,0.8918
112,0.7875,0.4212,0.8915
113,0.782,0.4175,0.8921
114,0.7869,0.413,0.8946
115,0.7852,0.4117,0.8934
116,0.7898,0.4075,0.8958
117,0.7727,0.4057,0.8954
118,0.7838,0.4052,0.896
119,0.7751,0.4028,0.8965
120,0.7743,0.3997,0.8978
121,0.7609,0.3949,0.8984
122,0.7842,0.3928,0.8987
123,0.7376,0.3913,0.8988
124,0.7251,0.3859,0.8992
125,0.7561,0.3856,0.8992
126,0.735,0.382,0.9004
127,0.747,0.3798,0.9002
128,0.7354,0.3777,0.9011
129,0.7155,0.3717,0.9013
130,0.7174,0.3719,0.9019
131,0.7262,0.371,0.902
132,0.7066,0.3687,0.9028
133,0.727,0.3667,0.9026
134,0.7206,0.3675,0.9042
135,0.7076,0.3641,0.9036
136,0.6984,0.3611,0.9041
137,0.7132,0.3583,0.9045
138,0.6923,0.3569,0.9046
139,0.6774,0.3519,0.906
140,0.6891,0.351,0.9068
141,0.6902,0.3472,0.9068
142,0.6821,0.347,0.9066
143,0.689,0.3471,0.9063
144,0.6946,0.3465,0.9076
145,0.6917,0.3454,0.9074
146,0.6554,0.3428,0.9071
147,0.6864,0.3403,0.9086
148,0.6654,0.338,0.9083
149,0.663,0.3373,0.9076
150,0.6742,0.3366,0.9092
151,0.6672,0.3333,0.9089
152,0.647,0.3313,0.9098
153,0.6655,0.3302,0.9101
154,0.6449,0.3284,0.9106
155,0.6597,0.3274,0.9101
156,0.6475,0.3252,0.9105
157,0.6678,0.3263,0.9112
158,0.6487,0.3239,0.9121
159,0.6539,0.3227,0.911
160,0.662,0.3223,0.9122
161,0.6456,0.3198,0.9118
162,0.6686,0.3206,0.9112
