Epoch,Training loss,Test loss,Test acc
1,2.3185,2.3063,0.0706
2,2.3167,2.3053,0.0719
3,2.3201,2.3043,0.0731
4,2.3136,2.3034,0.0748
5,2.3157,2.3024,0.0767
6,2.3154,2.3015,0.0781
7,2.312,2.3006,0.08
8,2.3099,2.2998,0.0827
9,2.3103,2.2988,0.0843
10,2.3107,2.2979,0.0863
11,2.3094,2.297,0.088
12,2.311,2.2961,0.0901
13,2.3071,2.2952,0.0915
14,2.305,2.2943,0.093
15,2.3042,2.2934,0.0937
16,2.2999,2.2925,0.0947
17,2.3019,2.2916,0.0958
18,2.2974,2.2907,0.0972
19,2.305,2.2898,0.0978
20,2.2981,2.2889,0.099
21,2.3014,2.288,0.1002
22,2.2973,2.2871,0.1015
23,2.2981,2.2862,0.103
24,2.2949,2.2852,0.1041
25,2.2939,2.2843,0.1051
26,2.2938,2.2833,0.1063
27,2.2943,2.2823,0.1081
28,2.2917,2.2814,0.1096
29,2.2937,2.2804,0.1122
30,2.2886,2.2794,0.1135
31,2.2874,2.2784,0.1147
32,2.2886,2.2774,0.1154
33,2.2894,2.2764,0.1171
34,2.2862,2.2753,0.1188
35,2.2838,2.2743,0.1199
36,2.2815,2.2732,0.1212
37,2.2844,2.2721,0.1239
38,2.2801,2.2711,0.1264
39,2.279,2.27,0.1293
40,2.2808,2.2689,0.1309
41,2.2817,2.2678,0.1334
42,2.2847,2.2667,0.1357
43,2.276,2.2656,0.1389
44,2.2751,2.2644,0.1427
45,2.2773,2.2632,0.1458
46,2.2757,2.262,0.1493
47,2.2732,2.2607,0.1524
48,2.2696,2.2595,0.1566
49,2.2726,2.2583,0.1595
50,2.2679,2.2571,0.1626
51,2.2684,2.2558,0.1676
52,2.2677,2.2545,0.1714
53,2.266,2.2532,0.1742
54,2.2675,2.2518,0.1776
55,2.2642,2.2505,0.1821
56,2.2682,2.2491,0.1863
57,2.2606,2.2477,0.1905
58,2.2627,2.2462,0.1965
59,2.2605,2.2448,0.2004
60,2.2628,2.2433,0.2061
61,2.2591,2.2418,0.2111
62,2.2596,2.2403,0.2144
63,2.256,2.2389,0.2185
64,2.2577,2.2373,0.2221
65,2.2513,2.2357,0.2266
66,2.2485,2.234,0.2316
67,2.2541,2.2324,0.235
68,2.2502,2.2308,0.2412
69,2.2452,2.2291,0.2446
70,2.247,2.2273,0.2511
71,2.2471,2.2256,0.2582
72,2.2454,2.2239,0.2655
73,2.2437,2.2221,0.2731
74,2.2415,2.2204,0.2802
75,2.239,2.2186,0.2872
76,2.241,2.2168,0.2977
77,2.2376,2.2148,0.3089
78,2.2361,2.2129,0.3168
79,2.2348,2.2109,0.327
80,2.2393,2.2091,0.3353
81,2.2333,2.207,0.3452
82,2.2328,2.205,0.3552
83,2.2284,2.2029,0.3663
84,2.2273,2.2007,0.3779
85,2.2238,2.1985,0.3898
86,2.22,2.1962,0.4006
87,2.2197,2.1939,0.4123
88,2.2224,2.1916,0.424
89,2.2157,2.1892,0.4343
90,2.2199,2.1869,0.4433
91,2.2181,2.1845,0.4529
92,2.2174,2.1821,0.462
93,2.209,2.1796,0.4681
94,2.2096,2.177,0.4765
95,2.2057,2.1744,0.4819
96,2.2019,2.1717,0.487
97,2.2056,2.1691,0.4938
98,2.2018,2.1664,0.5019
99,2.1919,2.1635,0.5071
100,2.1956,2.1607,0.5126
101,2.196,2.1578,0.5199
102,2.1949,2.1549,0.5262
103,2.1938,2.1519,0.5317
104,2.1892,2.1489,0.5359
105,2.1835,2.1457,0.5405
106,2.1848,2.1425,0.5448
107,2.1823,2.1394,0.5478
108,2.1811,2.1361,0.5519
109,2.1727,2.1327,0.5545
110,2.1718,2.1293,0.5556
111,2.1735,2.1257,0.5619
112,2.1697,2.1223,0.5645
113,2.1676,2.1187,0.5698
114,2.1669,2.1151,0.5731
115,2.1582,2.1113,0.5754
116,2.1586,2.1076,0.5746
117,2.1554,2.1037,0.5786
118,2.1559,2.0998,0.5801
119,2.1541,2.0959,0.5818
120,2.1411,2.0917,0.5847
121,2.1389,2.0874,0.5862
122,2.138,2.0831,0.59
123,2.1363,2.0788,0.5924
124,2.1317,2.0744,0.594
125,2.1366,2.07,0.595
126,2.1299,2.0656,0.5993
127,2.1242,2.061,0.602
128,2.1206,2.0563,0.6039
129,2.1189,2.0515,0.6046
130,2.1099,2.0466,0.6073
131,2.1102,2.0417,0.6097
132,2.1077,2.0367,0.6106
133,2.1153,2.0319,0.6131
134,2.106,2.0269,0.6135
135,2.0969,2.0219,0.6138
136,2.0935,2.0166,0.616
137,2.0894,2.0111,0.6178
138,2.0832,2.0055,0.6184
139,2.0833,2.0001,0.6201
140,2.0835,1.9949,0.6196
141,2.0783,1.9893,0.6215
142,2.0689,1.9835,0.6225
143,2.066,1.9777,0.6218
144,2.0618,1.972,0.6235
145,2.0595,1.9661,0.6247
146,2.0561,1.9602,0.6287
147,2.0545,1.9543,0.6295
148,2.0538,1.9485,0.6316
149,2.0498,1.9426,0.6336
150,2.0334,1.9362,0.6355
151,2.0242,1.9295,0.6357
152,2.0321,1.9231,0.6357
153,2.0209,1.9165,0.6375
154,2.0194,1.91,0.6391
155,2.0139,1.9033,0.6403
156,1.9963,1.8961,0.6421
157,2.0131,1.8895,0.6431
158,2.0065,1.8827,0.6443
159,1.9961,1.876,0.6453
160,1.9813,1.8688,0.6456
161,1.9873,1.8619,0.6468
162,1.99,1.8551,0.6484
163,1.9834,1.8484,0.6494
164,1.9829,1.8415,0.6504
165,1.9744,1.8347,0.6509
166,1.9662,1.8277,0.6521
