Dataset,Model,Num of rounds,E,B,C,Lr,Time elapsed
mnist,cnn,1000,1,600,0.1,0.08,2350.6106564998627
Epoch,Training loss,Test loss,Test acc
1,2.324,2.2955,0.1043
2,2.3061,2.2879,0.1116
3,2.3053,2.2813,0.1196
4,2.299,2.2754,0.1319
5,2.2853,2.269,0.1393
6,2.2842,2.2628,0.1508
7,2.2785,2.2565,0.1667
8,2.2706,2.2496,0.1847
9,2.264,2.2422,0.2186
10,2.2609,2.2346,0.2411
11,2.2539,2.226,0.2797
12,2.2468,2.216,0.3095
13,2.2374,2.2051,0.3482
14,2.229,2.1927,0.386
15,2.2201,2.1779,0.4429
16,2.2042,2.1613,0.4794
17,2.1987,2.1435,0.5102
18,2.1847,2.1219,0.5442
19,2.1708,2.0979,0.5767
20,2.1453,2.0701,0.5916
21,2.1262,2.0378,0.6155
22,2.1047,2.0013,0.6502
23,2.0824,1.9609,0.6585
24,2.0611,1.9167,0.6709
25,2.0265,1.8689,0.6887
26,1.9896,1.818,0.6887
27,1.9599,1.7606,0.7032
28,1.9074,1.6989,0.7103
29,1.8753,1.6367,0.7109
30,1.8139,1.5655,0.732
31,1.786,1.5014,0.7405
32,1.7316,1.4357,0.7379
33,1.6772,1.3679,0.7266
34,1.6465,1.3084,0.7618
35,1.5981,1.2455,0.767
36,1.5506,1.1867,0.7825
37,1.5108,1.1316,0.783
38,1.4652,1.0758,0.7902
39,1.4316,1.0325,0.803
40,1.374,0.9812,0.8015
41,1.3433,0.9523,0.7931
42,1.3259,0.9216,0.8072
43,1.3212,0.9067,0.7884
44,1.2872,0.893,0.7885
45,1.2641,0.8669,0.7758
46,1.2567,0.8551,0.7843
47,1.2236,0.8268,0.7902
48,1.1775,0.7787,0.8139
49,1.1692,0.762,0.7997
50,1.1549,0.7399,0.8205
51,1.1212,0.7103,0.8178
52,1.1025,0.6788,0.8393
53,1.0657,0.6602,0.8224
54,1.0374,0.6307,0.8519
55,1.053,0.6286,0.845
56,1.0375,0.6154,0.848
57,1.0182,0.6106,0.8431
58,0.9886,0.59,0.854
59,0.9937,0.5997,0.8399
60,0.9823,0.5722,0.8594
61,0.9596,0.5798,0.8504
62,0.9565,0.5525,0.8623
63,0.9401,0.5575,0.8427
64,0.9401,0.5292,0.8666
65,0.9196,0.5369,0.8507
66,0.8793,0.5009,0.8782
67,0.8699,0.5034,0.8667
68,0.8971,0.4981,0.8675
69,0.8884,0.4942,0.8657
70,0.8584,0.4841,0.8729
71,0.8686,0.4894,0.8624
