Dataset,Model,Num of rounds,E,B,C,Lr,Time elapsed
mnist,cnn,1000,1,50,0.1,0.1,2742.643241882324
Epoch,Training loss,Test loss,Test acc
1,2.2738,2.1427,0.5074
2,2.0488,1.6152,0.6481
3,1.6527,1.0747,0.7504
4,1.3708,0.7757,0.8205
5,1.1644,0.6719,0.8511
6,1.0057,0.5326,0.8682
7,0.9317,0.4708,0.8751
8,0.8266,0.4023,0.8914
9,0.7897,0.3428,0.9132
10,0.7416,0.3129,0.9206
11,0.709,0.2836,0.9266
12,0.6551,0.2665,0.9322
13,0.6132,0.2501,0.9345
14,0.6068,0.2325,0.9345
15,0.5467,0.2214,0.9403
16,0.532,0.2072,0.9452
17,0.529,0.1967,0.9469
18,0.5044,0.1905,0.947
19,0.507,0.1763,0.9502
20,0.4795,0.1694,0.9536
21,0.4832,0.1643,0.9542
22,0.4617,0.1644,0.9533
23,0.4295,0.1572,0.9553
24,0.4139,0.151,0.9552
25,0.4171,0.1499,0.9558
26,0.4162,0.1443,0.9577
27,0.4114,0.1405,0.9592
28,0.4042,0.1391,0.9591
29,0.3522,0.1339,0.9606
30,0.393,0.132,0.9613
31,0.3883,0.1294,0.9614
32,0.3833,0.1251,0.9637
33,0.365,0.1216,0.9639
34,0.3832,0.1221,0.9654
35,0.3517,0.1193,0.9639
36,0.381,0.1199,0.9648
37,0.3287,0.1151,0.9658
38,0.3603,0.1135,0.9662
39,0.363,0.114,0.9655
40,0.3317,0.11,0.9669
41,0.3134,0.1075,0.9682
42,0.3401,0.1083,0.9662
43,0.3457,0.1062,0.9688
44,0.3254,0.1046,0.9686
45,0.3226,0.1039,0.9692
46,0.2931,0.0998,0.9698
47,0.3059,0.1001,0.9698
48,0.3083,0.0979,0.9708
49,0.3353,0.098,0.9695
50,0.2971,0.0957,0.9707
51,0.3135,0.0936,0.9705
52,0.3128,0.0935,0.9696
53,0.3064,0.0953,0.97
54,0.3001,0.0935,0.9704
55,0.3107,0.0918,0.9714
56,0.277,0.092,0.9698
57,0.3008,0.0892,0.9713
58,0.2938,0.0881,0.9717
59,0.3003,0.0892,0.9718
60,0.2871,0.0857,0.973
61,0.2892,0.0851,0.9734
62,0.2791,0.0863,0.9732
63,0.2768,0.0858,0.9735
64,0.2548,0.0864,0.9727
65,0.2505,0.0851,0.9735
66,0.2607,0.0853,0.9725
67,0.2692,0.0825,0.9724
68,0.2869,0.0813,0.9744
69,0.2676,0.0802,0.9752
70,0.2734,0.0811,0.9744
71,0.2653,0.0812,0.9738
72,0.2554,0.0797,0.9739
73,0.2731,0.0781,0.9751
74,0.2605,0.0788,0.9748
75,0.2357,0.0786,0.9763
76,0.2531,0.077,0.9755
77,0.2577,0.0764,0.9761
78,0.2585,0.0734,0.9774
79,0.2623,0.0749,0.9766
80,0.2351,0.0741,0.9769
81,0.2433,0.0737,0.9762
82,0.2336,0.071,0.9766
83,0.2429,0.0723,0.9768
84,0.2478,0.0712,0.9775
85,0.2576,0.0719,0.9773
86,0.2491,0.0693,0.9779
87,0.2519,0.0702,0.9787
88,0.2396,0.0695,0.9784
89,0.2489,0.0706,0.9777
90,0.2382,0.0678,0.9794
91,0.2492,0.0688,0.979
92,0.2384,0.0689,0.9787
93,0.2258,0.0686,0.9781
94,0.23,0.0671,0.9797
95,0.2367,0.0663,0.9796
96,0.233,0.0676,0.979
97,0.2178,0.0678,0.9791
98,0.2318,0.0656,0.9794
99,0.2072,0.0644,0.9796
100,0.2319,0.0674,0.9791
101,0.2395,0.0648,0.9795
102,0.2074,0.064,0.9791
103,0.2368,0.0653,0.9798
104,0.2137,0.0625,0.9815
105,0.1987,0.0643,0.9808
106,0.2189,0.0622,0.9808
107,0.2266,0.0645,0.9799
108,0.2251,0.0638,0.9802
109,0.2258,0.0635,0.9804
110,0.2066,0.0614,0.9807
111,0.2101,0.0622,0.9818
112,0.224,0.0608,0.9813
113,0.2161,0.0604,0.9803
114,0.1883,0.0612,0.9809
115,0.2265,0.0591,0.9821
116,0.216,0.0605,0.9808
117,0.1915,0.0595,0.9811
118,0.2084,0.0614,0.9814
119,0.216,0.0589,0.982
120,0.2266,0.0596,0.9809
121,0.2088,0.0601,0.982
122,0.225,0.0581,0.9818
123,0.1878,0.0573,0.982
124,0.1995,0.0571,0.9817
125,0.2067,0.0557,0.9818
126,0.1868,0.0572,0.9818
127,0.2067,0.0559,0.9821
128,0.1992,0.0562,0.9811
129,0.1997,0.0548,0.9811
130,0.2088,0.0543,0.9811
131,0.2031,0.0543,0.9827
132,0.2069,0.0551,0.9822
133,0.2051,0.0547,0.9815
134,0.1941,0.054,0.9825
135,0.2024,0.054,0.9824
136,0.1949,0.0544,0.9826
137,0.1829,0.0543,0.982
138,0.1922,0.0537,0.9818
139,0.2127,0.0555,0.9816
140,0.1864,0.0534,0.9831
141,0.1846,0.054,0.9833
142,0.2123,0.0552,0.9829
143,0.1724,0.0532,0.9836
144,0.1867,0.0531,0.9827
145,0.1962,0.0507,0.9843
146,0.1972,0.0516,0.9843
147,0.1765,0.0527,0.9826
148,0.191,0.0521,0.9836
149,0.187,0.0525,0.9832
150,0.1701,0.0529,0.9828
151,0.1988,0.0527,0.9843
152,0.1902,0.0518,0.9839
153,0.1869,0.053,0.9838
154,0.1819,0.0517,0.9839
155,0.1835,0.0513,0.983
156,0.1761,0.0523,0.9832
157,0.1735,0.0524,0.9832
158,0.1824,0.0515,0.9835
159,0.1653,0.0512,0.9837
160,0.1711,0.0512,0.9832
161,0.1874,0.0501,0.984
162,0.1901,0.0511,0.9838
163,0.1722,0.0497,0.9846
164,0.1744,0.0491,0.9844
165,0.1987,0.0503,0.9846
166,0.1766,0.0506,0.9842
167,0.1853,0.0495,0.9842
168,0.1888,0.0507,0.9833
169,0.1846,0.0509,0.9839
170,0.179,0.0509,0.9836
171,0.1662,0.0513,0.9835
172,0.1835,0.0487,0.984
173,0.1739,0.0477,0.984
174,0.1607,0.0502,0.9836
175,0.1873,0.0478,0.9841
176,0.1691,0.0489,0.9841
177,0.1855,0.048,0.985
178,0.1478,0.0506,0.984
179,0.1596,0.048,0.9843
180,0.1814,0.047,0.9849
181,0.1475,0.0486,0.9846
182,0.1708,0.0514,0.984
183,0.1785,0.0486,0.9847
184,0.1926,0.0483,0.985
185,0.1841,0.0493,0.9837
186,0.1721,0.0473,0.9854
187,0.1846,0.0469,0.9847
188,0.1729,0.0466,0.9851
189,0.167,0.0463,0.9849
190,0.1586,0.0482,0.9847
191,0.188,0.0487,0.9842
192,0.1401,0.048,0.9846
193,0.1634,0.0473,0.9851
194,0.1756,0.0459,0.9854
195,0.1718,0.0476,0.9849
196,0.1686,0.0494,0.9839
197,0.1666,0.0463,0.9859
198,0.1562,0.0474,0.9849
199,0.1394,0.0473,0.9853
200,0.1542,0.0474,0.985
201,0.1765,0.0468,0.9853
202,0.1569,0.0478,0.985
203,0.1826,0.0455,0.9853
204,0.1603,0.0464,0.9851
205,0.1722,0.0461,0.9855
206,0.1527,0.0463,0.9853
207,0.1507,0.0453,0.9863
208,0.1718,0.0452,0.986
209,0.1586,0.0462,0.9849
210,0.1707,0.0444,0.9851
211,0.1678,0.0457,0.9856
212,0.1468,0.0438,0.9863
213,0.1589,0.0441,0.9858
214,0.1698,0.044,0.9857
215,0.1532,0.0448,0.986
216,0.1627,0.0439,0.9859
217,0.1733,0.046,0.9855
218,0.1531,0.0449,0.9856
219,0.1643,0.0461,0.9858
220,0.1875,0.0445,0.9858
221,0.1679,0.0453,0.9857
222,0.1499,0.0459,0.985
223,0.1793,0.0446,0.9857
224,0.1649,0.0448,0.9859
225,0.1662,0.0443,0.9862
226,0.1906,0.0446,0.9857
227,0.1698,0.0428,0.9863
228,0.1516,0.0429,0.9864
229,0.1559,0.0441,0.9859
230,0.1624,0.0433,0.9865
231,0.1655,0.0438,0.9862
232,0.1665,0.0428,0.9861
233,0.1452,0.0422,0.9867
234,0.1398,0.0454,0.9859
235,0.1589,0.0428,0.9862
236,0.1626,0.0428,0.9867
237,0.1704,0.0434,0.9859
238,0.1669,0.0429,0.9865
239,0.1593,0.042,0.9861
240,0.1698,0.0423,0.9863
241,0.155,0.0412,0.9865
242,0.1594,0.0416,0.9868
243,0.1588,0.0406,0.9871
244,0.1412,0.042,0.9869
245,0.143,0.0423,0.9866
246,0.159,0.0407,0.9866
247,0.1392,0.0418,0.9866
248,0.1448,0.0427,0.9861
249,0.1394,0.0424,0.9863
250,0.1395,0.0419,0.9867
251,0.1441,0.0424,0.9865
252,0.1528,0.0411,0.9873
