Epoch,Training loss,Test loss,Test acc
1,2.237,2.1204,0.691
2,1.9434,1.5667,0.7866
3,1.8032,1.7225,0.6717
4,1.133,0.6208,0.8514
5,1.3047,0.9668,0.8075
6,0.624,0.4038,0.8931
7,0.6585,0.4882,0.8757
8,0.4043,0.339,0.9064
9,0.4299,0.3721,0.8797
10,0.3501,0.2906,0.9157
11,0.2847,0.289,0.9106
12,0.3132,0.2576,0.923
13,0.2435,0.2212,0.9356
14,0.2248,0.2139,0.9363
15,0.2497,0.2209,0.9335
16,0.2416,0.2222,0.9303
17,0.2048,0.1881,0.9448
18,0.1732,0.1724,0.9476
19,0.1688,0.1712,0.9484
20,0.1712,0.1611,0.9523
21,0.1564,0.1556,0.9527
22,0.1635,0.1603,0.9507
23,0.1526,0.1477,0.9561
24,0.1674,0.1534,0.9547
25,0.1353,0.1368,0.9594
26,0.1251,0.133,0.9591
27,0.1298,0.1275,0.962
28,0.1234,0.1255,0.9624
29,0.1131,0.1233,0.9632
30,0.1337,0.1381,0.957
31,0.1486,0.1426,0.9572
32,0.1281,0.1152,0.9655
33,0.1048,0.1088,0.968
34,0.1078,0.1064,0.9665
35,0.0959,0.1041,0.967
36,0.0962,0.102,0.9682
37,0.0851,0.0995,0.9706
38,0.1118,0.1093,0.9655
39,0.0971,0.0977,0.9698
40,0.0924,0.0989,0.9682
41,0.0993,0.1013,0.97
42,0.1084,0.0995,0.9671
43,0.0869,0.0884,0.9742
44,0.0844,0.0887,0.9725
45,0.0794,0.086,0.9735
46,0.0795,0.085,0.9736
47,0.0788,0.0828,0.9744
48,0.0798,0.0812,0.9755
49,0.0767,0.0813,0.975
50,0.0805,0.0787,0.9761
51,0.0687,0.0873,0.9719
52,0.096,0.1361,0.9555
53,0.3751,0.1415,0.9601
54,0.1048,0.0928,0.9733
55,0.0898,0.0856,0.9748
56,0.07,0.081,0.9754
57,0.0734,0.0782,0.9762
58,0.0747,0.0763,0.9766
59,0.0657,0.0749,0.9773
60,0.0619,0.0742,0.9775
61,0.0685,0.0717,0.9783
62,0.0623,0.0709,0.9783
63,0.061,0.0698,0.9784
64,0.0625,0.0682,0.9794
65,0.0624,0.0675,0.9794
66,0.0544,0.0666,0.9803
67,0.0539,0.0653,0.9803
68,0.0523,0.0647,0.9804
69,0.0535,0.0639,0.9805
70,0.0513,0.0634,0.9813
71,0.051,0.0641,0.981
72,0.0534,0.0625,0.981
73,0.0506,0.0618,0.981
74,0.0512,0.0606,0.9812
75,0.0601,0.0636,0.9801
76,0.0526,0.068,0.9793
77,0.1695,0.1094,0.9639
78,0.0646,0.061,0.9816
79,0.0498,0.0598,0.9812
80,0.0504,0.0583,0.9822
81,0.0505,0.0576,0.9823
82,0.048,0.0575,0.9824
83,0.0471,0.0577,0.9817
84,0.0473,0.0562,0.9822
85,0.0468,0.0558,0.9823
86,0.0433,0.0555,0.9825
87,0.0444,0.0552,0.982
88,0.0454,0.0551,0.983
89,0.0442,0.0538,0.9832
90,0.0393,0.0536,0.9826
91,0.0436,0.0544,0.983
92,0.0383,0.0534,0.9834
93,0.0416,0.0528,0.9826
94,0.036,0.0524,0.9826
95,0.0397,0.0516,0.9839
96,0.0333,0.0531,0.9826
97,0.0392,0.0519,0.9838
98,0.0376,0.0515,0.9838
99,0.0374,0.0526,0.9829
100,0.0428,0.0503,0.984
101,0.0436,0.0515,0.9838
102,0.0348,0.049,0.984
103,0.0399,0.0534,0.9825
104,0.0334,0.0514,0.9838
105,0.0404,0.0495,0.984
106,0.0337,0.0476,0.9851
107,0.0352,0.0479,0.9841
