Dataset,Model,Num of rounds,E,B,C,Lr,Time elapsed
mnist,cnn,300,5,600,0.0,0.01,509.76184129714966
Epoch,Training loss,Test loss,Test acc
1,2.3043,2.3001,0.0879
2,2.3176,2.2943,0.0969
3,2.3005,2.29,0.1026
4,2.2975,2.2843,0.1074
5,2.297,2.2798,0.1146
6,2.2867,2.2751,0.1216
7,2.2828,2.2707,0.1299
8,2.284,2.2673,0.1303
9,2.2785,2.263,0.1527
10,2.2769,2.258,0.1866
11,2.2742,2.2536,0.214
12,2.2743,2.2486,0.2692
13,2.2702,2.2442,0.2912
14,2.2606,2.239,0.3281
15,2.2569,2.2331,0.3596
16,2.2518,2.2269,0.3908
17,2.2427,2.2194,0.4168
18,2.236,2.2115,0.4405
19,2.2387,2.2035,0.4515
20,2.2283,2.1954,0.4636
21,2.2193,2.1863,0.469
22,2.2053,2.1746,0.4623
23,2.2134,2.165,0.4996
24,2.1941,2.1528,0.5188
25,2.1916,2.1398,0.524
26,2.178,2.1267,0.5396
27,2.1706,2.1121,0.5516
28,2.157,2.0949,0.5561
29,2.1508,2.0783,0.5719
30,2.1384,2.0603,0.5775
31,2.1174,2.0388,0.58
32,2.1022,2.0172,0.5831
33,2.099,1.9947,0.5885
34,2.0705,1.9705,0.5851
35,2.0342,1.9383,0.5809
36,2.0081,1.905,0.5816
37,2.0113,1.8745,0.5804
38,1.9621,1.8365,0.5919
39,1.9355,1.802,0.5998
40,1.9483,1.7733,0.6174
41,1.8998,1.7359,0.6174
42,1.8846,1.6982,0.6338
43,1.8622,1.6632,0.6391
44,1.8462,1.6254,0.6503
45,1.8183,1.5843,0.6545
46,1.8258,1.5547,0.6666
47,1.7627,1.5136,0.6734
48,1.6919,1.4623,0.6806
49,1.7143,1.4318,0.6859
50,1.66,1.3898,0.6968
51,1.6455,1.3458,0.7006
52,1.6113,1.3116,0.7214
53,1.5736,1.273,0.7273
54,1.57,1.2323,0.738
55,1.5823,1.2053,0.7362
56,1.5091,1.1711,0.7362
57,1.5226,1.1355,0.7504
58,1.4899,1.1075,0.7566
59,1.4231,1.0784,0.7584
60,1.4361,1.0473,0.7661
61,1.3904,1.026,0.7616
62,1.3919,1.0005,0.7805
63,1.3433,0.9706,0.7821
64,1.341,0.9472,0.7802
65,1.3335,0.9323,0.776
66,1.317,0.9095,0.7899
67,1.2819,0.8875,0.7932
68,1.2749,0.8683,0.7971
69,1.248,0.8556,0.7943
70,1.2476,0.8451,0.7931
71,1.2182,0.8261,0.7975
72,1.1902,0.8096,0.8011
73,1.186,0.7964,0.8036
74,1.1738,0.7832,0.8078
75,1.1598,0.7706,0.8115
76,1.1484,0.7553,0.8124
77,1.1921,0.7525,0.8143
78,1.1575,0.7361,0.8194
79,1.159,0.7284,0.8156
80,1.0774,0.7134,0.8195
81,1.1112,0.694,0.827
82,1.0493,0.6828,0.8287
83,1.147,0.684,0.8267
84,1.0793,0.6781,0.8155
85,1.0369,0.6629,0.8285
86,1.0491,0.6556,0.8263
87,1.0805,0.6496,0.8299
88,0.9964,0.6372,0.8304
89,1.067,0.6358,0.8354
90,0.9957,0.6257,0.8315
91,0.9708,0.6128,0.8365
92,1.0288,0.6084,0.841
93,0.9627,0.5998,0.8393
94,0.9255,0.5901,0.8389
95,0.9844,0.5852,0.8388
96,0.9892,0.5838,0.84
97,0.9287,0.5693,0.8478
98,0.9832,0.5739,0.8425
99,0.9122,0.5646,0.8432
100,0.9934,0.5627,0.8506
101,0.9363,0.5517,0.8487
102,0.9235,0.5491,0.8508
103,0.9202,0.5473,0.8471
104,0.901,0.5408,0.8533
105,0.8686,0.5351,0.8546
106,0.8756,0.5295,0.8548
107,0.9369,0.5328,0.8556
108,0.865,0.5225,0.8548
109,0.914,0.5214,0.8577
110,0.8731,0.5206,0.8543
111,0.861,0.512,0.861
112,0.8865,0.5045,0.8603
113,0.8714,0.5044,0.862
114,0.826,0.4982,0.8636
115,0.8326,0.4956,0.8629
116,0.9139,0.4953,0.8641
117,0.855,0.4954,0.8648
118,0.8194,0.4833,0.8649
119,0.9003,0.4917,0.8601
120,0.768,0.4823,0.864
121,0.8819,0.4788,0.8687
122,0.9084,0.4832,0.8695
123,0.8427,0.4761,0.8716
124,0.834,0.4648,0.8734
125,0.788,0.4612,0.8724
126,0.8595,0.4593,0.8748
127,0.8063,0.4564,0.8761
128,0.7714,0.4492,0.8775
129,0.7947,0.4487,0.8732
130,0.798,0.4473,0.8742
131,0.7636,0.4474,0.873
132,0.7564,0.4422,0.8749
133,0.8535,0.4462,0.8739
134,0.8144,0.4465,0.8769
135,0.7682,0.4387,0.8778
136,0.8018,0.4363,0.8752
137,0.8292,0.4379,0.8746
138,0.786,0.4356,0.8768
139,0.7373,0.4276,0.8818
140,0.7164,0.4249,0.8812
141,0.7425,0.4169,0.8831
142,0.7259,0.4166,0.8815
143,0.768,0.4166,0.8807
144,0.736,0.4186,0.8776
145,0.7321,0.4132,0.8815
146,0.763,0.4088,0.8864
147,0.6878,0.4084,0.883
148,0.8051,0.4089,0.8859
149,0.7141,0.4079,0.8839
150,0.7151,0.4031,0.8891
151,0.7186,0.3998,0.8858
152,0.7223,0.4012,0.8897
153,0.6821,0.3971,0.8872
154,0.6983,0.3954,0.8857
155,0.7813,0.3988,0.8882
156,0.7058,0.3894,0.8911
157,0.7554,0.3927,0.8863
158,0.7577,0.3908,0.8887
159,0.7445,0.3872,0.8943
160,0.6535,0.3832,0.8902
161,0.6705,0.3817,0.8917
162,0.6763,0.3751,0.8937
163,0.6757,0.3719,0.8936
164,0.6668,0.3716,0.892
165,0.7247,0.3782,0.8923
166,0.7522,0.3753,0.8951
167,0.6873,0.3732,0.8938
168,0.7476,0.3764,0.8972
169,0.6341,0.3764,0.8898
170,0.6552,0.3672,0.8929
171,0.6903,0.3646,0.8963
172,0.6871,0.3673,0.8956
173,0.6832,0.3607,0.8979
174,0.6613,0.3607,0.8957
175,0.7031,0.3592,0.901
176,0.6526,0.3586,0.8976
177,0.7058,0.3596,0.8963
178,0.684,0.3549,0.9011
179,0.6793,0.3557,0.9001
180,0.5868,0.3546,0.8967
181,0.6181,0.3503,0.9001
182,0.6419,0.346,0.9036
183,0.6497,0.3507,0.8975
184,0.6535,0.3485,0.9001
185,0.6672,0.3475,0.8977
186,0.6896,0.3434,0.9031
187,0.6683,0.3409,0.9039
188,0.674,0.3403,0.9061
189,0.7129,0.3451,0.9035
190,0.6754,0.3427,0.9033
191,0.6194,0.3417,0.9035
192,0.6064,0.3386,0.9037
193,0.6262,0.3406,0.901
194,0.6515,0.335,0.9027
195,0.684,0.3397,0.9009
196,0.6136,0.3359,0.9006
197,0.6069,0.3312,0.9028
198,0.6777,0.3311,0.9006
199,0.562,0.3296,0.9008
200,0.6707,0.3294,0.9013
201,0.6145,0.3253,0.9043
202,0.6892,0.3273,0.9072
203,0.6491,0.3245,0.9073
204,0.6098,0.321,0.9082
205,0.6901,0.3219,0.9089
206,0.6081,0.3252,0.906
207,0.6244,0.3206,0.9081
208,0.6862,0.3223,0.9064
209,0.6453,0.3206,0.9092
210,0.6731,0.3182,0.9085
211,0.6738,0.3143,0.9122
212,0.6199,0.3156,0.9102
213,0.5669,0.3126,0.9104
214,0.588,0.3172,0.9051
215,0.6658,0.3141,0.9097
216,0.625,0.3148,0.909
217,0.5465,0.3107,0.9094
218,0.608,0.3109,0.9089
219,0.6088,0.3108,0.9108
220,0.5903,0.3101,0.9091
221,0.5963,0.3029,0.9113
222,0.6167,0.3065,0.9099
223,0.5935,0.3054,0.9116
224,0.5541,0.3032,0.9109
225,0.6055,0.3011,0.9104
226,0.5966,0.2989,0.9127
227,0.5631,0.2957,0.9145
228,0.5971,0.2942,0.9162
229,0.5658,0.2924,0.9152
230,0.6103,0.2937,0.9149
231,0.5856,0.2978,0.9143
232,0.6331,0.2957,0.9154
233,0.5579,0.2933,0.9155
234,0.5379,0.2922,0.9152
235,0.6175,0.2898,0.9156
236,0.6787,0.2916,0.9159
237,0.5463,0.2891,0.9156
238,0.6126,0.2917,0.9164
239,0.5476,0.2879,0.9162
240,0.5482,0.2861,0.9152
241,0.6251,0.2894,0.9169
242,0.5399,0.2889,0.9148
243,0.6209,0.285,0.9172
244,0.5444,0.2816,0.9172
245,0.5995,0.2871,0.9146
246,0.5467,0.2845,0.9173
247,0.562,0.2825,0.9163
248,0.5338,0.2805,0.9183
249,0.5541,0.2828,0.9156
250,0.6124,0.282,0.9183
251,0.5528,0.281,0.9163
252,0.5437,0.281,0.9192
253,0.499,0.2779,0.9166
254,0.5415,0.2773,0.916
255,0.6135,0.2815,0.9175
256,0.5705,0.2763,0.919
257,0.5804,0.2791,0.9172
258,0.572,0.2748,0.9199
259,0.5548,0.2788,0.917
260,0.5807,0.2743,0.9171
261,0.5328,0.2689,0.9202
262,0.5648,0.2735,0.9165
263,0.525,0.2685,0.9204
264,0.5287,0.2698,0.9201
265,0.5149,0.2662,0.9206
266,0.4962,0.2675,0.9205
267,0.5823,0.2718,0.9181
268,0.4945,0.2697,0.9199
269,0.4925,0.2642,0.9219
270,0.5763,0.2638,0.9226
271,0.5236,0.2622,0.9209
272,0.5912,0.2651,0.9219
273,0.5445,0.2642,0.9221
274,0.4871,0.2607,0.9219
275,0.5735,0.2606,0.9222
276,0.5258,0.2623,0.9211
277,0.5724,0.2639,0.9218
278,0.5564,0.2634,0.9224
279,0.5283,0.2587,0.9235
280,0.5307,0.259,0.9235
281,0.4945,0.2562,0.9228
282,0.5127,0.2569,0.924
283,0.5782,0.2586,0.9234
284,0.5761,0.2582,0.9245
285,0.5015,0.2556,0.9237
286,0.5089,0.254,0.9248
287,0.4548,0.2556,0.9235
288,0.5163,0.2514,0.9249
289,0.4832,0.2538,0.9228
290,0.6038,0.2552,0.9242
291,0.5638,0.2536,0.9247
292,0.4771,0.2469,0.9257
293,0.5784,0.253,0.924
294,0.493,0.2469,0.9276
295,0.5496,0.2472,0.926
296,0.4899,0.2467,0.9255
297,0.4866,0.2467,0.9263
298,0.53,0.2476,0.9259
299,0.4958,0.2451,0.926
300,0.4706,0.2467,0.925
