Epoch,Training loss,Test loss,Test acc
1,2.3026,2.2179,0.4411
2,2.2187,2.132,0.5737
3,2.1372,2.0079,0.6367
4,2.011,1.8157,0.6745
5,1.8238,1.6076,0.592
6,1.6224,2.8617,0.2633
7,2.8329,2.1792,0.2621
8,2.1724,2.0154,0.3678
9,2.0279,1.8032,0.3944
10,1.8169,1.5672,0.6171
11,1.5813,1.2255,0.6614
12,1.2476,1.2305,0.6243
13,1.2405,3.2737,0.3643
14,3.2354,2.1701,0.3238
15,2.1677,2.0196,0.425
16,2.0161,1.7907,0.5248
17,1.788,1.4594,0.6984
18,1.4709,1.0587,0.7442
19,1.0827,0.9025,0.7325
20,0.9165,3.6975,0.231
21,3.6961,2.5044,0.2319
22,2.5054,2.0747,0.329
23,2.0731,1.9011,0.4377
24,1.9075,1.7001,0.4806
25,1.7185,1.4947,0.5557
26,1.4958,1.2903,0.6175
27,1.3149,1.107,0.6946
28,1.1349,0.9484,0.7082
29,0.9893,1.167,0.6335
30,1.1978,2.2555,0.4306
31,2.2531,1.7207,0.3556
32,1.733,1.5021,0.4886
33,1.5114,1.2783,0.6527
34,1.2787,1.0185,0.7401
35,1.0475,0.7612,0.8141
36,0.7823,0.5957,0.8515
37,0.6189,0.543,0.847
38,0.5654,0.6252,0.771
39,0.6416,1.2777,0.5908
40,1.3034,1.2277,0.6298
41,1.2646,0.9719,0.7368
42,1.0138,0.6683,0.8219
43,0.6993,0.4656,0.8699
44,0.4799,0.4055,0.8881
45,0.437,0.3797,0.8818
46,0.3816,0.3921,0.8759
47,0.4264,0.4572,0.839
48,0.4655,0.7477,0.7589
49,0.7837,0.4868,0.839
50,0.5064,0.3614,0.8935
51,0.3855,0.309,0.9102
52,0.3228,0.2909,0.9147
53,0.3017,0.2771,0.9162
54,0.2902,0.2679,0.9186
55,0.2855,0.2663,0.9177
56,0.2798,0.2631,0.9178
57,0.2872,0.2699,0.9148
58,0.3021,0.2803,0.9075
59,0.3009,0.3103,0.898
60,0.3305,0.338,0.8744
61,0.3755,0.3287,0.891
62,0.3562,0.2849,0.9063
63,0.3058,0.2325,0.9293
64,0.2502,0.2193,0.9346
65,0.2298,0.2126,0.9346
66,0.2243,0.2096,0.9353
67,0.2258,0.2036,0.9375
68,0.2144,0.1994,0.9383
69,0.2124,0.1936,0.9403
70,0.2041,0.1913,0.9406
71,0.2102,0.1886,0.9411
72,0.2141,0.1879,0.9399
73,0.1848,0.1826,0.9429
74,0.2097,0.1807,0.942
75,0.1922,0.178,0.9455
76,0.1945,0.1806,0.9422
77,0.1976,0.1813,0.9438
78,0.1955,0.2002,0.9337
79,0.2225,0.2153,0.9315
80,0.2368,0.2477,0.9192
81,0.2666,0.2959,0.8982
82,0.3264,0.3196,0.9013
83,0.3408,0.2411,0.924
84,0.2625,0.1734,0.9473
85,0.1802,0.1628,0.9492
86,0.1802,0.1584,0.9505
87,0.1669,0.1559,0.9503
88,0.1679,0.1529,0.9514
89,0.1676,0.1514,0.9522
90,0.1572,0.1482,0.9521
91,0.1705,0.147,0.9535
92,0.1543,0.1463,0.9531
93,0.1542,0.1423,0.954
94,0.1591,0.1403,0.9554
95,0.1533,0.1388,0.9544
96,0.1433,0.1385,0.9559
97,0.1544,0.1366,0.9557
98,0.1534,0.1343,0.9572
99,0.1397,0.1332,0.9575
100,0.1448,0.1322,0.9575
101,0.1415,0.1305,0.9573
102,0.1403,0.1273,0.9592
103,0.1389,0.1276,0.959
104,0.1496,0.1254,0.9613
105,0.1386,0.1276,0.9585
106,0.149,0.1242,0.9612
107,0.1434,0.1291,0.9586
108,0.1344,0.1291,0.9588
109,0.1367,0.1287,0.958
110,0.1459,0.1335,0.9579
111,0.1493,0.1484,0.9502
112,0.1627,0.1542,0.9511
113,0.1801,0.1749,0.9415
114,0.1964,0.2175,0.9295
115,0.2362,0.1935,0.9348
116,0.1991,0.1877,0.9422
117,0.213,0.1235,0.9603
118,0.1373,0.1166,0.9635
119,0.1374,0.1139,0.9631
120,0.1251,0.114,0.9635
121,0.1257,0.1114,0.9639
122,0.1324,0.1104,0.9642
123,0.1179,0.1104,0.9645
124,0.1102,0.1093,0.9641
125,0.124,0.107,0.9663
126,0.1258,0.1077,0.9662
127,0.1242,0.1049,0.9666
128,0.1084,0.1035,0.9677
129,0.1109,0.1038,0.967
130,0.1151,0.1028,0.9672
131,0.1154,0.1018,0.9685
132,0.1106,0.0999,0.9689
133,0.1074,0.0999,0.9688
134,0.1006,0.099,0.969
135,0.1123,0.0997,0.9684
136,0.0946,0.0975,0.9696
137,0.1048,0.0975,0.9693
138,0.1044,0.0963,0.9696
139,0.1036,0.0972,0.9699
140,0.1108,0.0952,0.9713
141,0.1123,0.0969,0.9693
142,0.1112,0.0948,0.9699
143,0.1078,0.094,0.9705
144,0.1021,0.0945,0.9699
145,0.111,0.0919,0.9716
146,0.1043,0.0923,0.9715
147,0.1046,0.0904,0.9721
148,0.1117,0.0905,0.9718
149,0.1094,0.0899,0.9716
150,0.0977,0.0886,0.9732
151,0.0994,0.0896,0.9719
152,0.094,0.0871,0.9729
153,0.1075,0.0887,0.9722
154,0.0976,0.0871,0.9726
155,0.0957,0.0887,0.972
156,0.1024,0.0863,0.9727
