Epoch,Training loss,Test loss,Test acc
1,1.5462,1.025,0.8471
2,0.6784,0.3172,0.927
3,0.3393,0.1711,0.9483
4,0.2677,0.1304,0.959
5,0.2365,0.1203,0.965
6,0.1776,0.0949,0.9694
7,0.1698,0.0876,0.9724
8,0.1493,0.0779,0.9749
9,0.1196,0.0694,0.9774
10,0.1411,0.0642,0.98
11,0.1249,0.0595,0.9799
12,0.1069,0.0569,0.9808
13,0.1016,0.0519,0.9828
14,0.1136,0.052,0.9828
15,0.0934,0.0502,0.9847
16,0.1,0.0452,0.9849
17,0.0755,0.0468,0.9841
18,0.0768,0.0417,0.9859
19,0.0908,0.0415,0.9863
20,0.0763,0.0408,0.9865
21,0.0862,0.0413,0.9872
22,0.0665,0.0362,0.9882
23,0.0657,0.038,0.9881
24,0.0828,0.037,0.9875
25,0.0621,0.0388,0.987
26,0.0593,0.0351,0.9883
27,0.0572,0.0354,0.9887
28,0.0492,0.0334,0.9887
29,0.0651,0.0333,0.9883
30,0.0468,0.0326,0.9891
31,0.0425,0.031,0.9887
32,0.051,0.0303,0.9901
33,0.0524,0.0302,0.9893
34,0.0529,0.0317,0.9893
35,0.0533,0.0305,0.9903
36,0.0439,0.0298,0.99
37,0.0475,0.0281,0.9913
38,0.0477,0.03,0.9909
39,0.0395,0.0284,0.9901
40,0.0422,0.0294,0.9897
41,0.0395,0.0278,0.9904
42,0.0401,0.0293,0.9897
43,0.047,0.0275,0.9912
44,0.0409,0.0271,0.9903
45,0.0308,0.0272,0.9903
46,0.0466,0.0282,0.99
47,0.0334,0.0275,0.991
48,0.042,0.0273,0.9902
49,0.0323,0.0268,0.9909
50,0.0304,0.0262,0.9908
51,0.0453,0.0262,0.9911
52,0.0272,0.0266,0.991
53,0.0213,0.027,0.9907
54,0.037,0.0254,0.9908
55,0.0322,0.0252,0.9915
56,0.0316,0.0253,0.9914
57,0.0287,0.0248,0.9916
58,0.0355,0.0241,0.9919
59,0.0387,0.0236,0.9919
60,0.0227,0.023,0.992
61,0.0299,0.0234,0.9924
62,0.0292,0.0234,0.9921
63,0.0236,0.0229,0.992
64,0.0243,0.023,0.9914
65,0.024,0.0228,0.992
66,0.0358,0.0237,0.9919
67,0.0228,0.0238,0.9916
68,0.0317,0.0247,0.9918
69,0.0219,0.0246,0.9917
70,0.034,0.0238,0.9915
71,0.0299,0.0242,0.9918
72,0.0248,0.024,0.9916
73,0.0357,0.0234,0.992
74,0.0219,0.0225,0.9924
75,0.0249,0.0233,0.9919
76,0.0205,0.0222,0.9925
77,0.0176,0.0221,0.9927
78,0.0256,0.0233,0.9921
79,0.0116,0.0227,0.9927
80,0.0158,0.0228,0.9926
81,0.0183,0.0224,0.9926
82,0.018,0.0218,0.993
83,0.0226,0.0231,0.9922
84,0.0173,0.0233,0.9924
85,0.0182,0.0239,0.9922
86,0.0277,0.0229,0.9927
87,0.0216,0.0225,0.993
88,0.0161,0.0228,0.9921
89,0.0226,0.022,0.993
90,0.0168,0.0215,0.993
91,0.0122,0.0224,0.9923
92,0.0124,0.0225,0.9919
93,0.0128,0.0216,0.9929
94,0.0126,0.0219,0.9932
95,0.021,0.0226,0.9923
96,0.0163,0.0225,0.9929
97,0.0119,0.0223,0.9928
98,0.0179,0.0224,0.9927
99,0.022,0.0218,0.993
100,0.0076,0.0216,0.9935
101,0.018,0.0223,0.993
102,0.0149,0.0222,0.993
103,0.0214,0.0227,0.9923
104,0.0152,0.0229,0.9926
105,0.0075,0.0228,0.9924
106,0.0152,0.0231,0.9929
107,0.01,0.0227,0.9931
108,0.0203,0.0219,0.9933
109,0.0185,0.0216,0.9932
110,0.0084,0.0208,0.993
111,0.013,0.0214,0.9929
112,0.0079,0.0205,0.9941
113,0.0097,0.0206,0.9935
114,0.0098,0.0212,0.9933
115,0.0066,0.0215,0.9931
116,0.0161,0.0216,0.9925
117,0.0109,0.0221,0.9927
118,0.0147,0.0209,0.9935
119,0.0093,0.0216,0.9929
120,0.008,0.0216,0.9937
121,0.0143,0.0213,0.9933
122,0.0103,0.021,0.9933
123,0.0132,0.0204,0.9934
124,0.0129,0.0212,0.9935
125,0.0089,0.0216,0.9934
126,0.0054,0.0218,0.9933
127,0.0056,0.022,0.9932
128,0.0125,0.022,0.993
129,0.0197,0.0228,0.9923
130,0.0075,0.0226,0.9927
131,0.0169,0.0212,0.9931
132,0.0144,0.022,0.9927
133,0.0062,0.0215,0.9935
134,0.0069,0.0207,0.9935
135,0.0067,0.0209,0.9936
136,0.0036,0.0219,0.9931
137,0.0022,0.0216,0.993
138,0.0164,0.0228,0.9931
139,0.0041,0.0222,0.9933
140,0.0047,0.0232,0.9926
141,0.0104,0.0219,0.9932
142,0.0129,0.0218,0.993
143,0.0069,0.0215,0.993
