epoch,training loss,test acc
1,1.98,32.23
2,1.54,44.24
3,1.37,48.04
4,1.26,45.63
5,1.17,47.08
6,1.11,52.62
7,1.05,47.27
8,1.01,51.58
9,0.96,50.3
10,0.92,55.15
11,0.89,57.94
12,0.86,58.17
13,0.82,58.74
14,0.79,54.84
15,0.76,51.41
16,0.74,53.12
17,0.71,54.54
18,0.68,56.14
19,0.67,55.98
20,0.65,47.73
21,0.63,55.42
22,0.61,51.68
23,0.6,54.62
24,0.57,56.11
25,0.57,55.95
26,0.54,52.13
27,0.54,56.71
28,0.52,56.48
29,0.5,52.72
30,0.5,54.91
31,0.48,55.56
32,0.47,56.21
33,0.47,54.15
34,0.46,55.16
35,0.45,51.63
36,0.44,53.14
37,0.44,53.6
38,0.43,53.3
39,0.42,54.08
40,0.42,53.22
41,0.4,53.04
42,0.4,52.85
43,0.4,54.05
44,0.39,54.56
45,0.4,54.63
46,0.37,54.49
47,0.39,55.52
48,0.37,54.24
49,0.36,55.62
50,0.37,53.55
51,0.37,53.77
52,0.38,54.32
53,0.36,54.7
54,0.35,48.02
55,0.36,55.14
56,0.36,53.21
57,0.35,52.98
58,0.37,52.36
59,0.34,53.98
60,0.34,52.92
61,0.35,51.58
62,0.33,51.57
63,0.34,54.79
64,0.34,53.87
65,0.33,51.9
66,0.33,52.49
67,0.33,53.59
68,0.33,52.07
69,0.34,52.38
70,0.34,54.46
71,0.35,54.57
72,0.33,52.91
73,0.32,49.95
74,0.32,52.31
75,0.34,52.78
76,0.35,54.75
77,0.33,50.41
78,0.33,52.91
79,0.32,53.17
80,0.31,52.31
81,0.32,53.73
82,0.34,51.23
83,0.33,53.17
84,0.31,52.5
85,0.33,52.93
86,0.34,52.32
87,0.32,52.41
88,0.34,53.51
89,0.33,50.06
90,0.32,51.79
91,0.34,52.25
92,0.34,50.88
93,0.3,52.73
94,0.31,52.84
95,0.32,52.3
96,0.32,52.53
97,0.32,51.33
98,0.31,53.18
99,0.33,51.12
100,0.34,53.44
101,0.33,52.61
102,0.33,51.37
103,0.32,52.72
104,0.31,52.52
105,0.33,51.83
106,0.33,51.58
107,0.32,51.33
108,0.33,53.1
109,0.33,51.86
110,0.34,53.37
111,0.31,51.55
112,0.3,52.95
113,0.34,50.68
114,0.3,51.53
115,0.33,49.87
116,0.33,51.88
117,0.32,50.58
118,0.34,52.58
119,0.32,52.39
120,0.32,52.75
121,0.32,52.47
122,0.31,52.67
123,0.35,52.08
124,0.33,52.14
125,0.35,51.67
126,0.31,50.96
127,0.32,49.92
128,0.33,53.25
129,0.33,49.02
130,0.32,51.21
131,0.35,50.89
132,0.3,53.19
133,0.35,48.55
134,0.33,50.96
135,0.33,51.7
136,0.33,52.2
137,0.33,52.5
138,0.31,50.91
139,0.34,52.43
140,0.31,51.78
141,0.35,52.38
142,0.32,52.21
143,0.33,52.93
144,0.33,52.82
145,0.33,51.58
146,0.33,51.56
147,0.33,51.49
148,0.3,52.94
149,0.3,50.02
150,0.34,52.39
151,0.33,50.62
152,0.35,52.2
153,0.34,50.54
154,0.34,52.09
155,0.33,51.61
156,0.34,51.05
157,0.31,49.45
158,0.35,52.14
159,0.35,51.05
160,0.3,51.13
161,0.35,52.38
162,0.34,49.95
163,0.35,50.69
164,0.34,52.39
165,0.3,50.43
166,0.35,50.2
167,0.32,52.43
168,0.37,52.16
169,0.35,50.57
170,0.36,51.99
171,0.34,51.0
172,0.31,51.99
173,0.32,51.0
174,0.34,48.91
175,0.37,50.71
176,0.33,51.37
177,0.33,52.02
178,0.32,51.67
179,0.37,50.48
180,0.34,51.45
181,0.34,51.9
182,0.32,51.6
183,0.34,52.12
184,0.33,50.13
185,0.35,50.96
186,0.34,52.84
187,0.33,50.81
188,0.36,50.78
189,0.32,52.59
190,0.4,50.97
191,0.32,49.34
192,0.33,50.38
193,0.35,51.63
194,0.33,48.81
195,0.35,49.32
196,0.37,47.04
197,0.3,48.23
198,0.38,50.9
199,0.34,50.19
200,0.35,52.27
201,0.32,49.95
202,0.37,46.89
203,0.38,51.61
204,0.32,52.23
205,0.36,51.54
206,0.35,52.96
207,0.35,51.18
208,0.36,50.18
209,0.34,50.64
210,0.37,50.06
211,0.32,52.26
212,0.37,51.15
213,0.33,50.79
214,0.35,51.39
215,0.33,51.19
216,0.35,51.53
217,0.39,51.81
218,0.37,49.27
219,0.34,51.18
220,0.31,51.25
221,0.34,49.14
222,0.39,51.84
223,0.35,51.19
224,0.38,50.92
225,0.36,52.07
226,0.32,51.16
227,0.38,50.56
