Epoch,Training loss,Test loss,Test acc,Time,,,,,,,,,
1,2.2968,2.2973,0.1,13498s,,,,,,,,,
2,2.268,2.2205,0.1987,,,,,,,,,,
3,2.1605,2.0821,0.2489,,,,,,,,,,
4,2.0114,1.9548,0.2836,,,,,,,,,,
5,1.9385,1.8775,0.3104,,,,,,,,,,
6,1.8729,1.7922,0.3447,,,,,,,,,,
7,1.785,1.7189,0.3735,,,,,,,,,,
8,1.7101,1.6398,0.4017,,,,,,,,,,
9,1.6267,1.5924,0.4179,,,,,,,,,,
10,1.5751,1.5512,0.4311,,,,,,,,,,
11,1.508,1.5298,0.4454,,,,,,,,,,
12,1.4458,1.5147,0.4518,,,,,,,,,,
13,1.4028,1.4715,0.4674,,,,,,,,,,
14,1.3466,1.4691,0.4716,,,,,,,,,,
15,1.3067,1.4507,0.4823,,,,,,,,,,
16,1.2338,1.4372,0.4904,,,,,,,,,,
17,1.1917,1.4406,0.4975,,,,,,,,,,
18,1.1527,1.4353,0.4975,,,,,,,,,,#NAME?
19,1.1038,1.435,0.5001,,,,,,,,,,
20,1.0559,1.423,0.5064,,,,,,,,,,
21,1.0309,1.4205,0.5167,,,,,,,,,,
22,0.9427,1.4702,0.5125,,,,,,,,,,
23,0.9073,1.4572,0.5229,,,,,,,,,,
24,0.8816,1.4556,0.52,,,,,,,,,,
25,0.85,1.4981,0.5194,,,,,,,,,,
26,0.835,1.4979,0.5255,,,,,,,,,,
27,0.8036,1.4917,0.5244,,,,,,,,,,
28,0.7571,1.5114,0.5256,,,,,,,,,,
29,0.7335,1.5506,0.5258,,,,,,,,,,
30,0.7282,1.5587,0.5288,,,,,,,,,,
31,0.6938,1.5708,0.5304,,,,,,,,,,
32,0.6954,1.5832,0.5318,,,,,,,,,,
33,0.7054,1.5682,0.5291,,,,,,,,,,
34,0.6369,1.6061,0.5298,,,,,,,,,,
35,0.6371,1.6062,0.5321,,,,,,,,,,
36,0.6633,1.5817,0.5349,,,,,,,,,,
37,0.6012,1.6172,0.5341,,,,,,,,,,
38,0.6362,1.593,0.5377,,,,,,,,,,
39,0.6014,1.6146,0.5342,,,,,,,,,,
40,0.5635,1.6406,0.5328,,,,,,,,,,
41,0.5626,1.6466,0.5335,,,,,,,,,,
42,0.5945,1.6172,0.5355,,,,,,,,,,
43,0.529,1.6694,0.5352,,,,,,,,,,
44,0.54,1.6645,0.5379,,,,,,,,,,
45,0.5055,1.6725,0.5416,,,,,,,,,,
46,0.5861,1.6108,0.537,,,,,,,,,,
47,0.5043,1.6644,0.5406,,,,,,,,,,
48,0.5183,1.6457,0.5429,,,,,,,,,,
49,0.5224,1.6413,0.5398,,,,,,,,,,
