Epoch,Training loss,Test loss,Test acc
1,2.0615,1.8093,0.7136
2,1.7562,1.6385,0.8694
3,1.6762,1.6034,0.8862
4,1.6338,1.586,0.8979
5,1.6172,1.5769,0.9015
6,1.6102,1.5681,0.9072
7,1.5963,1.5632,0.9103
8,1.5901,1.5586,0.9137
9,1.5835,1.5553,0.9161
10,1.5767,1.5526,0.9165
11,1.5753,1.5502,0.9209
12,1.5722,1.5475,0.9213
13,1.5681,1.5456,0.9236
14,1.5637,1.5442,0.9245
15,1.5659,1.5426,0.9264
16,1.5601,1.5415,0.9259
17,1.5586,1.54,0.9277
18,1.5581,1.5389,0.9277
19,1.5564,1.5379,0.9282
20,1.5548,1.5367,0.9301
21,1.553,1.5354,0.9317
22,1.5526,1.5346,0.9309
23,1.5532,1.5328,0.9338
24,1.5524,1.5324,0.9346
25,1.5476,1.5321,0.934
26,1.5507,1.5312,0.9341
27,1.5455,1.5308,0.9353
28,1.5452,1.5296,0.9367
29,1.5401,1.5295,0.9372
30,1.5493,1.5287,0.9372
31,1.5404,1.5282,0.9375
32,1.544,1.5279,0.9373
33,1.5471,1.527,0.9394
34,1.5384,1.5263,0.9393
35,1.543,1.5258,0.94
36,1.5425,1.5251,0.9408
37,1.5419,1.5243,0.9418
38,1.5412,1.5239,0.9416
39,1.5421,1.5238,0.9413
40,1.537,1.5233,0.9413
41,1.5415,1.5233,0.9413
42,1.5387,1.5225,0.9424
43,1.5363,1.5224,0.9424
44,1.5324,1.5224,0.943
45,1.5362,1.5216,0.9436
46,1.5367,1.5212,0.9434
47,1.5309,1.5214,0.9428
48,1.5342,1.5209,0.9446
49,1.5336,1.5208,0.9436
50,1.5352,1.5199,0.9453
51,1.5305,1.5203,0.9444
52,1.5316,1.5197,0.9443
53,1.5319,1.5196,0.9444
54,1.5325,1.5197,0.9444
55,1.5336,1.5191,0.9456
56,1.529,1.5189,0.946
57,1.534,1.519,0.9451
58,1.5332,1.5182,0.9457
59,1.5316,1.5178,0.9457
60,1.532,1.5182,0.9452
61,1.5294,1.5179,0.9468
62,1.5315,1.5177,0.947
63,1.5278,1.5172,0.9478
64,1.5316,1.5175,0.9469
65,1.5281,1.5172,0.9462
66,1.5259,1.517,0.9468
67,1.526,1.5168,0.9471
68,1.5281,1.5165,0.9474
69,1.5253,1.516,0.9488
70,1.5273,1.516,0.9482
71,1.5273,1.5154,0.9495
72,1.5272,1.5154,0.9481
73,1.5291,1.5154,0.9493
74,1.5285,1.5149,0.9495
75,1.5278,1.5153,0.9487
76,1.5279,1.5149,0.9486
77,1.5211,1.5149,0.95
78,1.5262,1.5148,0.9493
79,1.5255,1.5143,0.9503
80,1.5293,1.5139,0.9504
81,1.5245,1.5141,0.9505
82,1.5242,1.5139,0.9496
83,1.5264,1.5136,0.9501
84,1.5236,1.5137,0.95
85,1.5226,1.5131,0.9504
86,1.5272,1.5127,0.9507
87,1.5268,1.5127,0.9519
88,1.5236,1.5127,0.951
89,1.5248,1.5126,0.9522
90,1.5239,1.5125,0.951
91,1.5237,1.5126,0.9516
92,1.5252,1.5121,0.9516
93,1.5217,1.5123,0.9511
94,1.5248,1.5122,0.9513
95,1.5271,1.5118,0.9525
96,1.5232,1.5114,0.9526
97,1.5222,1.5117,0.9515
98,1.5219,1.5116,0.9521
99,1.5218,1.5112,0.9528
100,1.5219,1.5116,0.9524
101,1.5217,1.5111,0.9528
102,1.5229,1.5108,0.9529
103,1.5194,1.5105,0.9529
104,1.5192,1.5106,0.9528
105,1.5237,1.5106,0.9528
106,1.5228,1.5099,0.9536
107,1.5145,1.5101,0.9529
108,1.5235,1.5097,0.9543
109,1.5186,1.5097,0.9544
110,1.5191,1.5098,0.954
