epoch,training loss,test acc
1,1.99,30.99
2,1.55,46.34
3,1.39,53.17
4,1.29,56.91
5,1.2,56.02
6,1.13,57.84
7,1.06,57.39
8,1.01,61.88
9,0.97,61.66
10,0.93,62.59
11,0.89,60.54
12,0.86,62.96
13,0.82,62.58
14,0.79,62.61
15,0.76,62.94
16,0.74,62.74
17,0.71,62.75
18,0.69,61.69
19,0.66,60.81
20,0.64,60.88
21,0.63,62.3
22,0.6,61.92
23,0.59,61.37
24,0.57,61.57
25,0.56,61.67
26,0.55,61.63
27,0.53,60.72
28,0.52,59.05
29,0.51,61.04
30,0.5,60.04
31,0.49,59.93
32,0.47,60.79
33,0.46,60.27
34,0.46,59.98
35,0.45,59.86
36,0.43,59.99
37,0.44,60.35
38,0.43,59.55
39,0.42,60.04
40,0.41,59.7
41,0.41,59.28
42,0.4,59.63
43,0.41,58.76
44,0.37,58.14
45,0.39,59.26
46,0.39,57.85
47,0.39,58.97
48,0.37,58.13
49,0.39,58.83
50,0.38,58.68
51,0.37,58.93
52,0.36,58.47
53,0.37,58.23
54,0.35,59.03
55,0.35,58.55
56,0.36,58.29
57,0.36,58.64
58,0.35,58.1
59,0.35,58.18
60,0.36,58.04
61,0.33,57.42
62,0.34,57.76
63,0.35,57.47
64,0.35,57.8
65,0.35,57.95
66,0.35,58.59
67,0.34,57.68
68,0.34,57.14
69,0.34,58.36
70,0.34,57.41
71,0.33,58.16
72,0.34,57.95
73,0.34,57.67
74,0.34,57.18
75,0.32,57.23
76,0.34,57.19
77,0.34,56.88
78,0.33,56.68
79,0.34,57.91
80,0.35,55.93
81,0.35,57.55
82,0.32,57.95
83,0.34,57.08
84,0.34,57.05
85,0.33,57.27
86,0.33,57.46
87,0.33,57.44
88,0.33,55.18
89,0.33,56.99
90,0.34,57.5
91,0.34,56.36
92,0.33,56.49
93,0.31,57.19
94,0.32,57.64
95,0.32,57.01
96,0.35,57.37
97,0.33,57.67
98,0.33,56.56
99,0.34,57.45
100,0.32,57.11
