epoch,training loss,test acc
1,1.55,87.9
2,0.66,92.18
3,0.49,94.22
4,0.42,95.2
5,0.36,95.79
6,0.33,96.17
7,0.3,96.5
8,0.28,96.66
9,0.27,96.97
10,0.26,97.0
11,0.24,97.21
12,0.23,97.28
13,0.22,97.53
14,0.22,97.42
15,0.21,97.81
16,0.2,97.73
17,0.2,97.76
18,0.19,97.92
19,0.19,98.01
20,0.18,98.04
21,0.18,98.06
22,0.18,98.04
23,0.17,98.13
24,0.17,98.33
25,0.17,98.29
26,0.16,98.4
27,0.16,98.41
28,0.16,98.41
29,0.16,98.45
30,0.16,98.53
31,0.16,98.49
32,0.15,98.54
33,0.15,98.53
34,0.15,98.6
35,0.15,98.55
36,0.14,98.69
37,0.14,98.64
38,0.14,98.6
39,0.14,98.61
40,0.14,98.74
41,0.14,98.7
42,0.14,98.73
43,0.13,98.78
44,0.14,98.67
45,0.13,98.78
46,0.13,98.75
47,0.13,98.79
48,0.13,98.75
49,0.13,98.84
50,0.13,98.83
51,0.12,98.84
52,0.13,98.83
53,0.13,98.8
54,0.13,98.79
55,0.12,98.88
56,0.12,98.8
57,0.12,98.89
58,0.12,98.9
59,0.12,98.88
60,0.12,98.87
61,0.12,98.89
62,0.11,98.91
63,0.12,98.91
64,0.12,98.95
65,0.12,98.84
66,0.12,98.91
67,0.12,98.89
68,0.12,99.0
69,0.11,99.01
70,0.12,98.99
71,0.11,98.97
72,0.11,98.99
73,0.11,98.95
74,0.11,99.02
75,0.11,98.98
76,0.11,99.03
77,0.11,98.98
78,0.11,98.97
79,0.11,98.99
80,0.11,99.0
81,0.11,99.05
82,0.11,98.97
83,0.11,99.04
84,0.11,98.95
85,0.1,99.08
86,0.11,99.04
87,0.1,99.07
88,0.1,98.98
89,0.1,98.96
90,0.1,98.95
91,0.11,98.92
92,0.1,98.99
93,0.1,98.97
94,0.1,99.05
95,0.1,99.01
96,0.1,99.03
97,0.1,99.0
98,0.1,99.01
99,0.1,98.94
100,0.1,99.07
101,0.1,99.03
102,0.1,99.01
103,0.1,99.08
104,0.1,99.04
105,0.1,99.04
106,0.1,99.05
107,0.1,99.11
108,0.1,99.04
109,0.1,99.04
110,0.1,99.04
111,0.1,99.08
112,0.1,99.07
113,0.09,99.08
114,0.09,99.14
115,0.1,99.01
116,0.1,99.05
117,0.09,99.08
118,0.1,99.11
119,0.1,99.11
120,0.1,99.06
121,0.1,99.05
122,0.09,99.1
123,0.09,99.03
124,0.09,99.03
125,0.1,99.07
126,0.09,99.07
127,0.09,99.04
128,0.09,99.0
129,0.09,99.01
130,0.09,99.09
131,0.09,99.04
132,0.09,98.98
133,0.09,99.02
134,0.09,99.05
135,0.09,99.03
136,0.09,99.09
137,0.09,99.11
138,0.09,99.1
139,0.09,99.05
140,0.09,99.11
141,0.09,99.01
142,0.09,99.14
143,0.09,99.11
144,0.09,99.16
145,0.09,99.13
146,0.09,99.06
147,0.09,99.14
148,0.09,99.08
149,0.09,99.1
150,0.09,99.07
151,0.09,99.11
152,0.09,99.05
153,0.09,99.08
154,0.09,99.09
155,0.09,99.1
156,0.09,99.11
157,0.09,99.11
158,0.09,99.14
159,0.09,99.11
160,0.09,99.1
161,0.09,99.04
162,0.08,99.06
163,0.09,99.1
164,0.09,99.08
165,0.09,99.08
166,0.09,99.11
167,0.09,99.12
168,0.08,99.11
169,0.09,99.1
170,0.09,99.07
171,0.09,99.05
172,0.08,99.04
173,0.09,99.12
174,0.08,99.08
175,0.09,99.14
176,0.08,99.06
177,0.09,99.06
178,0.08,99.1
179,0.08,99.12
180,0.08,99.2
181,0.08,99.14
182,0.08,99.12
183,0.08,99.13
184,0.08,99.1
185,0.08,99.12
186,0.08,99.09
187,0.08,99.13
188,0.08,99.09
189,0.09,99.13
190,0.08,99.16
191,0.08,99.11
192,0.08,99.17
193,0.09,99.08
194,0.08,99.13
195,0.08,99.11
196,0.08,99.17
197,0.08,99.07
198,0.08,99.12
199,0.08,99.12
200,0.08,99.09
